"station"	"month"	"depth"	"temperature"	"salinity"	"Lat"	"Long"	"area"
"KB9"	1	"bottom"	2.72333333333333	8.625	54.40167	13.105001	"WRB"
"KB9"	1	"surface"	2.59125	8.6375	54.40167	13.105001	"WRB"
"KB9"	2	"bottom"	0.8	9.4	54.40167	13.105001	"WRB"
"KB9"	2	"surface"	0.355	9.275	54.40167	13.105001	"WRB"
"KB9"	3	"bottom"	3.85	8.2	54.40167	13.105001	"WRB"
"KB9"	3	"surface"	3.87125	8.12	54.40167	13.105001	"WRB"
"KB9"	4	"bottom"	8.41666666666667	7.93333333333333	54.40167	13.105001	"WRB"
"KB9"	4	"surface"	8.36875	7.58333333333333	54.40167	13.105001	"WRB"
"KB9"	5	"bottom"	13.98	7.9	54.40167	13.105001	"WRB"
"KB9"	5	"surface"	13.68	7.921875	54.40167	13.105001	"WRB"
"KB9"	6	"bottom"	17.03	8.3	54.40167	13.105001	"WRB"
"KB9"	6	"surface"	17.17	7.5	54.40167	13.105001	"WRB"
"KB9"	7	"bottom"	20.52	8.4	54.40167	13.105001	"WRB"
"KB9"	7	"surface"	20.52	8.4	54.40167	13.105001	"WRB"
"KB9"	8	"bottom"	20.5	8.2	54.40167	13.105001	"WRB"
"KB9"	8	"surface"	20.48	8.4	54.40167	13.105001	"WRB"
"KB9"	9	"bottom"	15.135	8.4	54.40167	13.105001	"WRB"
"KB9"	9	"surface"	15.4210714285714	8.4	54.40167	13.105001	"WRB"
"KB9"	10	"bottom"	10.93	8.3	54.40167	13.105001	"WRB"
"KB9"	10	"surface"	12.285	8.2	54.40167	13.105001	"WRB"
"KB9"	11	"bottom"	7.0175	8.05	54.40167	13.105001	"WRB"
"KB9"	11	"surface"	6.895	8.30833333333333	54.40167	13.105001	"WRB"
"KB9"	12	"bottom"	3.965	9.05	54.40167	13.105001	"WRB"
"KB9"	12	"surface"	3.94375	8.8125	54.40167	13.105001	"WRB"
"RB1"	1	"surface"	3.31666666666667	8.16733333333333	54.515	13.125002	"WRB"
"RB1"	2	"surface"	1.982	7.60416666666667	54.515	13.125002	"WRB"
"RB1"	3	"surface"	5.15444444444445	7.025	54.515	13.125002	"WRB"
"RB1"	4	"surface"	9.85833333333333	6.95833333333333	54.515	13.125002	"WRB"
"RB1"	5	"surface"	15.08125	6.62916666666667	54.515	13.125002	"WRB"
"RB1"	6	"surface"	18.4958333333333	7.19916666666667	54.515	13.125002	"WRB"
"RB1"	7	"surface"	21.2661111111111	7.27222222222222	54.515	13.125002	"WRB"
"RB1"	8	"surface"	19.46125	7.31666666666667	54.515	13.125002	"WRB"
"RB1"	9	"surface"	16.17	6.9	54.515	13.125002	"WRB"
"RB1"	10	"surface"	10.1325	7.30666666666667	54.515	13.125002	"WRB"
"RB1"	11	"surface"	6.5575	7.13809523809524	54.515	13.125002	"WRB"
"RB1"	12	"surface"	2.81666666666667	7.10833333333333	54.515	13.125002	"WRB"
"RB2"	1	"surface"	3.15833333333333	9.96369047619048	54.57	13.131672	"WRB"
"RB2"	2	"surface"	2.21666666666667	8.5	54.57	13.131672	"WRB"
"RB2"	3	"surface"	5.84666666666667	8.61875	54.57	13.131672	"WRB"
"RB2"	4	"surface"	10.1275	8	54.57	13.131672	"WRB"
"RB2"	5	"surface"	14.775	8.28333333333333	54.57	13.131672	"WRB"
"RB2"	6	"surface"	19.05	8.7	54.57	13.131672	"WRB"
"RB2"	7	"surface"	21.8	8.49166666666667	54.57	13.131672	"WRB"
"RB2"	8	"surface"	19.189375	8.36666666666667	54.57	13.131672	"WRB"
"RB2"	9	"surface"	16.05	8.55	54.57	13.131672	"WRB"
"RB2"	10	"surface"	11.1666666666667	8.2	54.57	13.131672	"WRB"
"RB2"	11	"surface"	6	8.17142857142857	54.57	13.131672	"WRB"
"RB2"	12	"surface"	3.16666666666667	8.93333333333333	54.57	13.131672	"WRB"
