"month"	"date"	"salinity_shore"	"temperature_shore"	"salinity_open"	"temperature_open"	"d18O_station"	"Prediction_Geffen_station_VPDB"	"Prediction_Patterson_station_VPDB"	"Prediction_Geffen_WRB_VPDB"	"Prediction_Patterson_WRB_VPDB"	"Lat_station"	"Long_station"
3	2020-03-18	9.9	7.2	7.9909375	4.68059027777778	-5.9	-3.57412154411257	-3.646745850832	-3.05862713869247	-3.04841711284918	54.582355	13.110588
4	2020-04-02	9.4	6.9	7.61875	9.1928125	-5.9	-3.51323913252579	-3.57608288968124	-3.97516846874976	-4.11220223871098	54.582355	13.110588
4	2020-04-29	10.1	13.5	7.61875	9.1928125	-5	-3.92141823750892	-4.19466732411668	-3.07342583885517	-3.21058367117727	54.582355	13.110588
5	2020-05-13	9.4	12.4	7.68359375	14.3790625	-5.5	-4.20800200203396	-4.44678908300627	-4.59173487094058	-4.89207699236368	54.582355	13.110588
5	2020-05-27	9.6	16.9	7.68359375	14.3790625	-4.2	-3.77218427033074	-4.15013988234266	-3.29054759626217	-3.59128232176537	54.582355	13.110588
6	2020-06-10	9.8	19.7	7.92479166666667	17.9364583333333	-5	-5.09707395144044	-5.55877704636112	-4.76790451716445	-5.1768688614909	54.582355	13.110588
6	2020-06-25	9.7	24.1	7.92479166666667	17.9364583333333	-4.6	-5.50121993330283	-6.09185537233535	-4.36781121244777	-4.77693996455096	54.582355	13.110588
7	2020-07-13	9.4	17.4	8.14097222222222	21.0265277777778	-4.9	-4.56692531049967	-4.95975177523014	-5.24203653495138	-5.74301861828898	54.582355	13.110588
8	2020-08-03	9.5	20.6	8.07083333333333	19.90765625	-4.8	-5.06354949608187	-5.55200685817404	-4.93559293493626	-5.40355580260315	54.582355	13.110588
8	2020-08-19	10	23.5	8.07083333333333	19.90765625	-4.4	-5.19317076799933	-5.76660303684161	-4.53564743370416	-5.00379838934059	54.582355	13.110588
9	2020-09-03	9	18.9	8.0625	15.6940178571429	-4.9	-4.84825289811547	-5.2861595891288	-4.2433157542614	-4.58426834897316	54.582355	13.110588
9	2020-09-18	9	17.4	8.0625	15.6940178571429	-4.6	-4.26682489606214	-4.65976978903042	-3.94311777890841	-4.28417316306693	54.582355	13.110588
10	2020-10-01	8.9	16	8.00166666666667	11.1285416666667	-4.2	-3.60122571809396	-3.95177648784269	-2.65655782007743	-2.85557869046055	54.582355	13.110588
10	2020-10-13	8.8	11.9	8.00166666666667	11.1285416666667	-5	-3.60948830645978	-3.83269252837763	-3.45779778165985	-3.65665876381616	54.582355	13.110588
10	2020-10-30	8.7	9.9	8.00166666666667	11.1285416666667	-5.7	-3.91573279816142	-4.07542427513735	-4.15888274804474	-4.35760382800244	54.582355	13.110588
11	2020-11-11	8.8	7.9	7.91696428571429	6.6175	-5.4	-3.21456201692517	-3.30996937685324	-2.95455605517187	-3.0081964001576	54.582355	13.110588
11	2020-11-27	9.2	6.1	7.91696428571429	6.6175	-5.4	-2.84894574276677	-2.8856173739835	-2.95455605517187	-3.0081964001576	54.582355	13.110588
12	2020-12-09	8.9	3	8.47604166666667	3.47302083333333	-5.6	-2.40841872304995	-2.3420404593356	-2.50718908390221	-2.4566924472708	54.582355	13.110588
1	2021-01-01	8	2	8.84838095238095	2.94739583333333	-5.4	-1.99777661051428	-1.89761227708733	-2.19676893020047	-2.12860720776294	54.582355	13.110588
1	2021-01-13	9	2.6	8.84838095238095	2.94739583333333	-6	-2.72594109824979	-2.64611981340436	-2.7987013036591	-2.73058070029801	54.582355	13.110588
1	2021-01-27	8.5	1.6	8.84838095238095	2.94739583333333	-6.3	-2.81649108274764	-2.7028474258893	-3.0996674903882	-3.03156744656554	54.582355	13.110588
2	2021-02-10	9.1	-0.2	8.69479166666667	1.33841666666667	-6.3	-2.43370283154902	-2.25847101701245	-2.76118359377459	-2.63864301334086	54.582355	13.110588
2	2021-02-18	10.3	0.3	8.69479166666667	1.33841666666667	-6.5	-2.74130983804449	-2.58330412055802	-2.96189584423369	-2.83937992729615	54.582355	13.110588
3	2021-03-02	8.2	3.7	7.9909375	4.68059027777778	-6.4	-3.35691092264415	-3.31404912826827	-3.56005625692071	-3.54985136638861	54.582355	13.110588
