Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
1,3,5,2015,20.2,core,,,516,2476
1,3,5,2015,20.2,1,2016,390.7,1324,2478
1,3,5,2015,20.2,2,2017,742.8,2860,2481
1,3,5,2015,20.2,3,2018,243.7,3364,2482
1,3,5,2015,20.2,4,2019,207.0,3792,2483
1,3,5,2015,20.2,5,2020,135.4,4072,2484
1,3,5,2015,20.2,edge,,13.5,4100,2484
10,3,2,2018,53.2,core,,,290,1490
10,3,2,2018,53.2,1,2019,734.1,1808,1494
10,3,2,2018,53.2,2,2020,451.6,2742,1497
10,3,2,2018,53.2,edge,,163.4,3080,1498
11,2,11,2009,118.4,core,,,105,2560
11,2,11,2009,118.4,1,2010,566.7,1277,2554
11,2,11,2009,118.4,2,2011,334.6,1969,2551
11,2,11,2009,118.4,3,2012,158.6,2297,2549
11,2,11,2009,118.4,4,2013,181.8,2673,2547
11,2,11,2009,118.4,5,2014,135.4,2953,2546
11,2,11,2009,118.4,6,2015,106.4,3173,2545
11,2,11,2009,118.4,7,2016,129.6,3441,2543
11,2,11,2009,118.4,8,2017,77.4,3601,2543
11,2,11,2009,118.4,9,2018,114.1,3837,2541
11,2,11,2009,118.4,10,2019,110.3,4065,2540
11,2,11,2009,118.4,11,2020,187.6,4453,2538
11,2,11,2009,118.4,edge,,238.0,4945,2536
12,2,2,2018,59.1,core,,,288,1258
12,2,2,2018,59.1,1,2019,1176.0,2720,1261
12,2,2,2018,59.1,2,2020,180.9,3094,1262
12,2,2,2018,59.1,edge,,50.3,3198,1262
13,2,10,2010,77.4,core,,,696,2730
13,2,10,2010,77.4,1,2011,392.7,1508,2731
13,2,10,2010,77.4,2,2012,524.2,2592,2732
13,2,10,2010,77.4,3,2013,203.1,3012,2732
13,2,10,2010,77.4,4,2014,216.6,3460,2733
13,2,10,2010,77.4,5,2015,208.9,3892,2733
13,2,10,2010,77.4,6,2016,154.7,4212,2733
13,2,10,2010,77.4,7,2017,75.4,4368,2733
13,2,10,2010,77.4,8,2018,104.4,4584,2734
13,2,10,2010,77.4,9,2019,65.8,4720,2734
13,2,10,2010,77.4,10,2020,77.4,4880,2734
13,2,10,2010,77.4,edge,,25.1,4932,2734
14,2,3,2017,67.0,core,,,555,1770
14,2,3,2017,67.0,1,2018,303.2,1182,1770
14,2,3,2017,67.0,2,2019,790.6,2817,1770
14,2,3,2017,67.0,3,2020,313.4,3465,1770
14,2,3,2017,67.0,edge,,7.3,3480,1770
15,2,14,2006,70.3,core,,,1220,2671
15,2,14,2006,70.3,1,2007,348.2,1940,2669
15,2,14,2006,70.3,2,2008,224.4,2404,2668
15,2,14,2006,70.3,3,2009,112.2,2636,2667
