ID	Image	Image_name_old	Random_ID	Magni
BH-00355	1	BH-00355_001_ch00.tif	96	1
BH-00355	2	BH-00355_002_ch00.tif	256	1
BH-00355	3	BH-00355_003_ch00.tif	24	1
BH-00356	1	BH-00356_001_ch00.tif	154	0.8
BH-00356	2	BH-00356_002_ch00.tif	25	0.8
BH-00356	3	BH-00356_003_ch00.tif	276	0.8
BH-00385	1	BH-00385_001_ch00.tif	46	0.8
BH-00385	2	BH-00385_002_ch00.tif	208	0.8
BH-00385	3	BH-00385_003_ch00.tif	71	0.8
BH-00391	1	BH-00391_001_ch00.tif	75	0.8
BH-00391	2	BH-00391_002_ch00.tif	197	0.8
BH-00391	3	BH-00391_003_ch00.tif	249	0.8
BH-00392	1	BH-00392_001_ch00.tif	45	0.8
BH-00392	2	BH-00392_002_ch00.tif	13	0.8
BH-00392	3	BH-00392_003_ch00.tif	259	0.8
BH-00398	1	BH-00398_001_ch00.tif	146	1
BH-00398	2	BH-00398_002_ch00.tif	217	1
BH-00398	3	BH-00398_003_ch00.tif	62	1
BH-00405	1	BH-00405_001_ch00.tif	161	1.25
BH-00405	2	BH-00405_002_ch00.tif	216	1.25
BH-00405	3	BH-00405_003_ch00.tif	226	1.25
BH-00411	1	BH-00411_001_ch00.tif	32	1
BH-00411	2	BH-00411_002_ch00.tif	77	1
BH-00411	3	BH-00411_003_ch00.tif	236	1
BH-00418	1	BH-00418_001_ch00.tif	104	0.8
BH-00418	2	BH-00418_002_ch00.tif	56	0.8
BH-00418	3	BH-00418_003_ch00.tif	186	0.8
BH-00419	1	BH-00419_001_ch00.tif	9	0.63
BH-00419	2	BH-00419_002_ch00.tif	99	0.63
BH-00419	3	BH-00419_003_ch00.tif	88	0.63
BH-00424	1	BH-00424_001_ch00.tif	54	1.25
BH-00424	2	BH-00424_002_ch00.tif	2	1.25
BH-00424	3	BH-00424_003_ch00.tif	191	1.25
BH-00670	1	BH-00670_001_ch00.tif	187	0.8
BH-00670	2	BH-00670_002_ch00.tif	129	0.8
BH-00670	3	BH-00670_003_ch00.tif	105	0.8
BH-00681	1	BH-00681_001_ch00.tif	267	0.8
BH-00681	2	BH-00681_002_ch00.tif	121	0.8
BH-00681	3	BH-00681_003_ch00.tif	112	0.8
BH-00685	1	BH-00685_001_ch00.tif	16	0.8
BH-00685	2	BH-00685_002_ch00.tif	290	0.8
BH-00685	3	BH-00685_003_ch00.tif	70	0.8
BH-00689	1	BH-00689_001_ch00.tif	241	1
BH-00689	2	BH-00689_002_ch00.tif	134	1
BH-00689	3	BH-00689_003_ch00.tif	165	1
BH-00696	1	BH-00696_001_ch00.tif	57	0.8
BH-00696	2	BH-00696_002_ch00.tif	33	0.8
BH-00696	3	BH-00696_003_ch00.tif	200	0.8
BH-00729	1	BH-00729_001_ch00.tif	83	0.8
BH-00729	2	BH-00729_002_ch00.tif	122	0.8
BH-00729	3	BH-00729_003_ch00.tif	254	0.8
BH-00730	1	BH-00730_001_ch00.tif	170	0.8
BH-00730	2	BH-00730_002_ch00.tif	155	0.8
BH-00730	3	BH-00730_003_ch00.tif	6	0.8
BH-00732	1	BH-00732_001_ch00.tif	100	1
BH-00732	2	BH-00732_002_ch00.tif	231	1
BH-00732	3	BH-00732_003_ch00.tif	66	1
BH-00742	1	BH-00742_001_ch00.tif	124	0.8
BH-00742	2	BH-00742_002_ch00.tif	42	0.8
BH-00742	3	BH-00742_003_ch00.tif	189	0.8
BH-00750	3	BH-00750_003_ch00.tif	15	0.8
BH-00750	1	BH-00750_001_ch00.tif	94	0.8
BH-00750	2	BH-00750_002_ch00.tif	279	0.8
BH-01555	1	BH-01555-001_ch00.tif	247	0.8
BH-01555	2	BH-01555-002_ch00.tif	214	0.8
BH-01555	3	BH-01555-003_ch00.tif	120	0.8
BH-01556	1	BH-01556-001_ch00.tif	97	0.63
BH-01556	2	BH-01556-002_ch00.tif	228	0.63
BH-01556	3	BH-01556-003_ch00.tif	114	0.63
BH-01560	1	BH-01560_001_ch00.tif	196	0.8
BH-01560	2	BH-01560_002_ch00.tif	7	0.8
BH-01560	3	BH-01560_003_ch00.tif	8	0.8
BH-01569	1	BH-01569-001_ch00.tif	115	1
BH-01569	2	BH-01569-002_ch00.tif	222	1
BH-01569	3	BH-01569-003_ch00.tif	283	1
BH-01570	1	BH-01570_001_ch00.tif	81	0.8
BH-01570	2	BH-01570_002_ch00.tif	253	0.8
BH-01570	3	BH-01570_003_ch00.tif	38	0.8
BH-01571	1	BH-01571-001_ch00.tif	223	1
BH-01571	2	BH-01571-002_ch00.tif	199	1
BH-01571	3	BH-01571-003_ch00.tif	41	1
