Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
1	3	6	2014	321.4	core			24	2256
1	3	6	2014	321.4	1	2015	393.8	677	1771
1	3	6	2014	321.4	2	2016	202.8	1013	1521
1	3	6	2014	321.4	3	2017	163.2	1284	1320
1	3	6	2014	321.4	4	2018	139.4	1515	1148
1	3	6	2014	321.4	5	2019	133.0	1736	985
1	3	6	2014	321.4	6	2020	232.3	2121	698
1	3	6	2014	321.4	edge		99.3	2286	576
10	3	2	2018	424.8	core			171	1429
10	3	2	2018	424.8	1	2019	586.2	1138	700
10	3	2	2018	424.8	2	2020	179.3	1434	477
10	3	2	2018	424.8	edge		100.7	1600	352
11	3	3	2017	332.9	core			448	1595
11	3	3	2017	332.9	1	2018	564.5	1431	967
11	3	3	2017	332.9	2	2019	259.3	1882	679
11	3	3	2017	332.9	3	2020	162.8	2166	498
11	3	3	2017	332.9	edge		106.9	2352	379
12	3	5	2015	473.8	core			504	1514
12	3	5	2015	473.8	1	2016	376.8	1238	1254
12	3	5	2015	473.8	2	2017	295.6	1813	1050
12	3	5	2015	473.8	3	2018	213.3	2229	903
12	3	5	2015	473.8	4	2019	144.3	2510	803
12	3	5	2015	473.8	5	2020	150.6	2803	700
12	3	5	2015	473.8	edge		48.6	2898	666
13	3	2	2018	407.5	core			375	1196
13	3	2	2018	407.5	1	2019	445.0	1181	754
13	3	2	2018	407.5	2	2020	260.8	1654	496
13	3	2	2018	407.5	edge		128.6	1887	368
14	3	9	2011	714.9	core			968	2986
14	3	9	2011	714.9	1	2012	445.7	1711	2442
14	3	9	2011	714.9	2	2013	275.9	2171	2106
14	3	9	2011	714.9	3	2014	129.0	2386	1949
14	3	9	2011	714.9	4	2015	141.1	2622	1776
14	3	9	2011	714.9	5	2016	123.2	2827	1626
14	3	9	2011	714.9	6	2017	99.9	2994	1504
14	3	9	2011	714.9	7	2018	112.1	3181	1367
14	3	9	2011	714.9	8	2019	103.4	3353	1241
14	3	9	2011	714.9	9	2020	99.9	3519	1119
14	3	9	2011	714.9	edge		80.7	3654	1021
15	3	8	2012	546.5	core			452	1476
15	3	8	2012	546.5	1	2013	468.9	1391	1238
15	3	8	2012	546.5	2	2014	171.9	1735	1151
15	3	8	2012	546.5	3	2015	131.0	1998	1085
15	3	8	2012	546.5	4	2016	169.8	2338	999
15	3	8	2012	546.5	5	2017	171.8	2682	912
15	3	8	2012	546.5	6	2018	150.0	2982	836
15	3	8	2012	546.5	7	2019	137.3	3257	766
15	3	8	2012	546.5	8	2020	88.1	3434	721
15	3	8	2012	546.5	edge		38.0	3510	702
16	3	2	2018	270.9	core			569	1097
16	3	2	2018	270.9	1	2019	399.5	1297	708
16	3	2	2018	270.9	2	2020	246.4	1745	467
16	3	2	2018	270.9	edge		154.7	2027	316
17	3	7	2013	368.7	core			1919	2853
17	3	7	2013	368.7	1	2014	545.7	2890	2280
17	3	7	2013	368.7	2	2015	277.2	3383	1990
17	3	7	2013	368.7	3	2016	150.1	3651	1832
17	3	7	2013	368.7	4	2017	167.3	3948	1657
17	3	7	2013	368.7	5	2018	150.7	4217	1498
