Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
1	3	4	2016	332.5	core			384	2197
1	3	4	2016	332.5	1	2017	502.4	1255	1632
1	3	4	2016	332.5	2	2018	261.5	1708	1338
1	3	4	2016	332.5	3	2019	201.7	2058	1112
1	3	4	2016	332.5	4	2020	149.9	2318	943
1	3	4	2016	332.5	edge		113.2	2514	816
10	3	2	2018	495.2	core			300	1190
10	3	2	2018	495.2	1	2019	362.9	956	827
10	3	2	2018	495.2	2	2020	357.3	1602	469
10	3	2	2018	495.2	edge		129.3	1835	340
11	3	13	2007	483.3	core			45	3134
11	3	13	2007	483.3	1	2008	268.2	590	3233
11	3	13	2007	483.3	2	2009	170.8	937	3297
11	3	13	2007	483.3	3	2010	258.7	1463	3393
11	3	13	2007	483.3	4	2011	158.2	1785	3451
11	3	13	2007	483.3	5	2012	179.5	2150	3518
11	3	13	2007	483.3	6	2013	179.5	2514	3584
11	3	13	2007	483.3	7	2014	124.1	2767	3630
11	3	13	2007	483.3	8	2015	127.8	3026	3677
11	3	13	2007	483.3	9	2016	106.5	3243	3717
11	3	13	2007	483.3	10	2017	122.3	3491	3762
11	3	13	2007	483.3	11	2018	150.4	3797	3818
11	3	13	2007	483.3	12	2019	154.3	4111	3875
11	3	13	2007	483.3	13	2020	147.8	4411	3930
11	3	13	2007	483.3	edge		81.2	4576	3960
12	3	2	2018	646.3	core			244	1290
12	3	2	2018	646.3	1	2019	460.3	1046	779
12	3	2	2018	646.3	2	2020	271.8	1520	477
12	3	2	2018	646.3	edge		170.4	1817	288
13	3	9	2011	319.1	core			534	2665
13	3	9	2011	319.1	1	2012	374.1	1090	2128
13	3	9	2011	319.1	2	2013	211.7	1404	1824
13	3	9	2011	319.1	3	2014	147.8	1624	1612
13	3	9	2011	319.1	4	2015	131.4	1819	1423
13	3	9	2011	319.1	5	2016	145.7	2036	1214
13	3	9	2011	319.1	6	2017	113.1	2204	1052
13	3	9	2011	319.1	7	2018	94.4	2344	916
13	3	9	2011	319.1	8	2019	98.6	2491	775
13	3	9	2011	319.1	9	2020	112.9	2659	613
13	3	9	2011	319.1	edge		92.5	2796	480
14	3	2	2018	342.4	core			228	1751
14	3	2	2018	342.4	1	2019	469.5	966	1122
14	3	2	2018	342.4	2	2020	259.6	1375	774
14	3	2	2018	342.4	edge		208.1	1702	495
15	3	12	2008	287.3	core			1270	2569
15	3	12	2008	287.3	1	2009	455.9	2147	2913
15	3	12	2008	287.3	2	2010	127.3	2392	3009
15	3	12	2008	287.3	3	2011	91.3	2567	3077
15	3	12	2008	287.3	4	2012	162.4	2880	3200
15	3	12	2008	287.3	5	2013	172.9	3213	3330
15	3	12	2008	287.3	6	2014	133.2	3469	3430
15	3	12	2008	287.3	7	2015	112.2	3685	3515
15	3	12	2008	287.3	8	2016	122.4	3920	3607
15	3	12	2008	287.3	9	2017	117.6	4146	3696
15	3	12	2008	287.3	10	2018	95.5	4330	3768
15	3	12	2008	287.3	11	2019	89.5	4502	3835
15	3	12	2008	287.3	12	2020	72.7	4642	3890
15	3	12	2008	287.3	edge		124.8	4882	3984
16	3	8	2012	244.4	core			669	2352
16	3	8	2012	244.4	1	2013	399.8	1389	1948
16	3	8	2012	244.4	2	2014	243.6	1829	1702
16	3	8	2012	244.4	3	2015	146.2	2092	1554
16	3	8	2012	244.4	4	2016	160.2	2381	1392
16	3	8	2012	244.4	5	2017	140.5	2634	1250
16	3	8	2012	244.4	6	2018	112.8	2837	1136
16	3	8	2012	244.4	7	2019	145.5	3099	989
16	3	8	2012	244.4	8	2020	106.9	3292	881
16	3	8	2012	244.4	edge		114.2	3498	766
17	3	2	2018	376.6	core			415	1294
17	3	2	2018	376.6	1	2019	423.3	1117	772
17	3	2	2018	376.6	2	2020	226.0	1492	493
17	3	2	2018	376.6	edge		204.7	1831	241
18	3	3	2017	184.2	core			808	1764
18	3	3	2017	184.2	1	2018	386.6	1502	1369
18	3	3	2017	184.2	2	2019	323.7	2083	1038
18	3	3	2017	184.2	3	2020	217.3	2474	816
18	3	3	2017	184.2	edge		148.4	2740	664
19	3	4	2016	336.4	core			210	2441
19	3	4	2016	336.4	1	2017	436.1	1105	2544
19	3	4	2016	336.4	2	2018	286.7	1694	2612
19	3	4	2016	336.4	3	2019	224.3	2154	2664
19	3	4	2016	336.4	4	2020	184.1	2532	2708
19	3	4	2016	336.4	edge		272.0	3090	2772
2	3	2	2018	487.6	core			126	1741
2	3	2	2018	487.6	1	2019	422.9	801	1186
2	3	2	2018	487.6	2	2020	223.4	1157	893
2	3	2	2018	487.6	edge		217.1	1504	608
20	3	8	2012	312.0	core			160	2871
20	3	8	2012	312.0	1	2013	393.9	972	2919
20	3	8	2012	312.0	2	2014	279.5	1549	2952
20	3	8	2012	312.0	3	2015	154.0	1866	2971
20	3	8	2012	312.0	4	2016	133.9	2143	2987
20	3	8	2012	312.0	5	2017	131.0	2413	3003
20	3	8	2012	312.0	6	2018	145.0	2712	3020
20	3	8	2012	312.0	7	2019	178.9	3081	3042
20	3	8	2012	312.0	8	2020	154.8	3400	3061
20	3	8	2012	312.0	edge		219.1	3852	3087
21	3	8	2012	352.0	core			50	2816
21	3	8	2012	352.0	1	2013	398.8	564	2172
21	3	8	2012	352.0	2	2014	215.0	841	1825
21	3	8	2012	352.0	3	2015	260.3	1176	1404
21	3	8	2012	352.0	4	2016	132.9	1347	1189
21	3	8	2012	352.0	5	2017	97.5	1473	1032
21	3	8	2012	352.0	6	2018	83.5	1580	897
21	3	8	2012	352.0	7	2019	98.0	1706	739
21	3	8	2012	352.0	8	2020	108.8	1847	563
21	3	8	2012	352.0	edge		47.6	1908	486
22	3	2	2018	433.7	core			411	1600
22	3	2	2018	433.7	1	2019	595.6	1437	920
22	3	2	2018	433.7	2	2020	228.7	1830	659
22	3	2	2018	433.7	edge		229.7	2226	396
23	3	6	2014	308.3	core			164	2554
23	3	6	2014	308.3	1	2015	405.4	898	2151
23	3	6	2014	308.3	2	2016	251.9	1355	1901
23	3	6	2014	308.3	3	2017	190.1	1699	1712
23	3	6	2014	308.3	4	2018	273.9	2195	1440
23	3	6	2014	308.3	5	2019	181.0	2523	1260
23	3	6	2014	308.3	6	2020	131.2	2761	1130
23	3	6	2014	308.3	edge		92.2	2928	1038
24	3	7	2013	363.5	core			288	2268
24	3	7	2013	363.5	1	2014	396.4	1026	1913
24	3	7	2013	363.5	2	2015	324.7	1630	1621
24	3	7	2013	363.5	3	2016	172.8	1952	1466
24	3	7	2013	363.5	4	2017	144.2	2220	1337
24	3	7	2013	363.5	5	2018	124.4	2452	1225
24	3	7	2013	363.5	6	2019	110.6	2658	1126
24	3	7	2013	363.5	7	2020	125.9	2892	1013
24	3	7	2013	363.5	edge		167.7	3204	863
25	3	2	2018	521.0	core			348	994
25	3	2	2018	521.0	1	2019	459.8	1256	714
25	3	2	2018	521.0	2	2020	300.0	1848	531
25	3	2	2018	521.0	edge		73.0	1992	486
26	3	3	2017	486.8	core			336	1250
26	3	3	2017	486.8	1	2018	338.8	957	926
26	3	3	2017	486.8	2	2019	302.0	1510	638
26	3	3	2017	486.8	3	2020	107.9	1708	535
26	3	3	2017	486.8	edge		63.5	1824	474
27	3	2	2018	318.5	core			288	1671
27	3	2	2018	318.5	1	2019	430.8	1168	1803
27	3	2	2018	318.5	2	2020	327.5	1837	1903
27	3	2	2018	318.5	edge		199.0	2244	1964
28	3	2	2018	336.8	core			359	1162
28	3	2	2018	336.8	1	2019	430.5	1153	761
28	3	2	2018	336.8	2	2020	327.7	1758	456
28	3	2	2018	336.8	edge		150.1	2035	317
29	3	2	2018	354.8	core			585	981
29	3	2	2018	354.8	1	2019	333.9	1193	654
29	3	2	2018	354.8	2	2020	205.9	1567	453
29	3	2	2018	354.8	edge		119.6	1785	336
3	3	7	2013	348.8	core			360	2586
3	3	7	2013	348.8	1	2014	433.6	1159	2182
3	3	7	2013	348.8	2	2015	255.8	1631	1943
3	3	7	2013	348.8	3	2016	200.1	2000	1756
3	3	7	2013	348.8	4	2017	244.0	2450	1529
3	3	7	2013	348.8	5	2018	136.5	2701	1401
3	3	7	2013	348.8	6	2019	129.9	2941	1280
3	3	7	2013	348.8	7	2020	121.5	3165	1167
3	3	7	2013	348.8	edge		27.9	3216	1141
30	3	1	2019	385.4	core			348	1418
30	3	1	2019	385.4	1	2020	951.1	2312	1352
30	3	1	2019	385.4	edge		99.3	2517	1345
31	3	2	2018	541.9	core			579	1437
31	3	2	2018	541.9	1	2019	532.0	1594	1015
31	3	2	2018	541.9	2	2020	278.1	2125	795
31	3	2	2018	541.9	edge		213.6	2532	626
32	3	6	2014	489.2	core			350	2187
32	3	6	2014	489.2	1	2015	377.0	1005	1765
32	3	6	2014	489.2	2	2016	187.9	1331	1555
32	3	6	2014	489.2	3	2017	285.5	1827	1235
32	3	6	2014	489.2	4	2018	212.9	2197	997
32	3	6	2014	489.2	5	2019	125.6	2415	856
32	3	6	2014	489.2	6	2020	113.6	2612	729
32	3	6	2014	489.2	edge		40.3	2682	684
33	3	11	2009	302.9	core			288	4027
33	3	11	2009	302.9	1	2010	543.4	1124	3277
33	3	11	2009	302.9	2	2011	249.2	1507	2934
33	3	11	2009	302.9	3	2012	145.3	1731	2733
33	3	11	2009	302.9	4	2013	115.1	1908	2574
33	3	11	2009	302.9	5	2014	140.5	2124	2381
33	3	11	2009	302.9	6	2015	131.5	2326	2199
33	3	11	2009	302.9	7	2016	114.8	2503	2041
33	3	11	2009	302.9	8	2017	145.6	2727	1840
33	3	11	2009	302.9	9	2018	147.3	2954	1637
33	3	11	2009	302.9	10	2019	118.6	3136	1473
33	3	11	2009	302.9	11	2020	90.1	3275	1349
33	3	11	2009	302.9	edge		65.9	3376	1258
34	3	6	2014	393.4	core			396	2574
34	3	6	2014	393.4	1	2015	412.3	1008	1981
34	3	6	2014	393.4	2	2016	288.0	1436	1568
34	3	6	2014	393.4	3	2017	173.2	1693	1319
34	3	6	2014	393.4	4	2018	220.3	2020	1002
34	3	6	2014	393.4	5	2019	150.6	2243	786
34	3	6	2014	393.4	6	2020	161.9	2484	553
34	3	6	2014	393.4	edge		86.5	2612	429
35	3	3	2017	451.9	core			641	1345
35	3	3	2017	451.9	1	2018	264.7	1070	1006
35	3	3	2017	451.9	2	2019	263.2	1496	668
35	3	3	2017	451.9	3	2020	146.0	1733	481
35	3	3	2017	451.9	edge		212.6	2077	208
36	3	3	2017	329.3	core			403	1188
36	3	3	2017	329.3	1	2018	410.0	1180	849
36	3	3	2017	329.3	2	2019	289.0	1727	610
36	3	3	2017	329.3	3	2020	119.9	1954	511
36	3	3	2017	329.3	edge		53.2	2055	468
37	3	8	2012	606.4	core			756	3153
37	3	8	2012	606.4	1	2013	454.2	1550	2653
37	3	8	2012	606.4	2	2014	444.5	2327	2164
