Otolith;ID;Size(x);Size(y);comment
01-BH-01758;1;3296;1200;
02-BH-01713;2;4701.5;1200;point 47 crack
03-BH-01719;3;2774.24;1200;
04-BH-00670;4;3139.13;1200;point 29 crack
05-BH-01812;5;4388.58;1200;
06-BH-01867;6;3909.42;1200;
07-BH-01814;7;3662.82;1200;
08-BH-01789;8;2540.5;1200;
09-BH-00732;9;2618;1200;
10-BH-01731;10;3823.13;1200;25-26 crack, 45 inclusion
11-BH-01819;11;3364.39;1200;
12-BH-01855;12;4183.47;1200;
13-BH-01869;13;3676.29;1200;39 crack
14-BH-01906;14;4809.68;1200;
15-BH-01835;15;3123.31;1200;34 inclusion
16-BH-01803;16;3154.68;1200;29 crack
17-BH-01809;17;2255.14;1200;
18-BH-01737;18;3882.87;1200;
19-BH-90307;19;3995.77;1200;46 crack
20-BH-01802;20;2932.5;1200;
21-BH-01868;21;4800.42;1200;
22-BH-01860;22;4315.6;1200;
23-BH-01738;23;4664.36;1200;43-47 crack
31-BH-00696;31;3649.69;1200;
32-BH-01582;32;3441.82;1200;
33-BH-01560;33;3966.49;1200;
35-BH-01846;35;4786.86;1200;
36-BH-01850;36;4576.69;1200;
37-BH-01717;37;4435.35;1200;
38-BH-01588;38;4688.17;1200;52 crack
39-BH-01556;39;3930.33;1200;
40-BH-01576;40;2894.33;1200;
41-BH-00689;41;2299.08;1200;
42-BH-01594;42;3323.17;1200;
43-BH-01598;43;3877.17;1200;
44-BH-00685;44;3279.69;1200;
45-BH-01595;45;3438.63;1200;
46-BH-01596;46;2841.07;1200;
47-BH-00681;47;2927.62;1200;
48-BH-01585;48;3760.18;1200;
49-BH-01567;49;2870.98;1200;
50-BH-01580;50;2297.87;1200;
51-BH-01571;51;2634.26;1200;
52-BH-01569;52;2255.9;1200;
61-BH-01882;61;2906.32;1200;
62-BH-01898;62;3537.53;1200;
63-BH-01899;63;3477.08;1200;
64-BH-01885;64;3386.26;1200;
65-BH-01900;65;2897.61;1200;
66-BH-01889;66;3893.04;1200;
67-BH-01883;67;4022.58;1200;
68-BH-01891;68;3761.54;1200;41 crack
69-BH-01908;69;4310.59;1200;
70-BH-01722;70;5312.16;1200;
71-BH-01904;71;2422.9;1200;
72-BH-01903;72;2008;1200;
73-BH-01902;73;2871.07;1200;27 & 31 crack
74-BH-00742;74;3070.25;1200;
75-BH-01897;75;3225.58;1200;
76-BH-00750;76;2822.15;1200;
77-BH-01892;77;3246.28;1200;28 crack
78-BH-01893;78;3138.19;1200;
E-BH-00398;E;3245.17;1200;
D-BH-00392;D;5613.51;1200;
C-BH-00391;C;4057;1200;
B-BH-00356;B;5487;1200;
A-BH-00355;A;2702;1200;
004-BH-91328;004;5015;1200;
003-BH-91117;003;3118.5;1200;
002-BH-91068;002;3250.84;1200;
001-BH-91054;001;2450.16;1200;
Z-BH-91053;Z;2888.83;1200;
Y-BH-91050;Y;3578.5;1200;
X-BH-91045;X;3529.5;1200;
W-BH-91013;W;4188.5;1200;
V-BH-90997;V;4257.5;1200;
U-BH-90981;U;4284.5;1200;
T-BH-90970;T;3824.17;1200;
S-BH-90946;S;3604.17;1200;
R-BH-90928;R;3282.17;1200;
Q-BH-91045;Q;3655.5;1200;
P-BH-00424;P;2638.53;1200;
O-BH-01922;O;4146.5;1200;
N-BH-01877;N;3029.16;1200;
M-BH-01776;M;3841.16;1200;
L-BH-01774;L;3545.5;1200;
K-BH-01772;K;3464.5;1200;
J-BH-01767;J;3873;1200;
I-BH-00419;I;5229.83;1200;
H-BH-00418;H;4512.17;1200;
G-BH-00411;G;3400.83;1200;
F-BH-00405;F;3203.5;1200;
