Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
1,2,5,2015,475.1,core,,,82,2228
1,2,5,2015,475.1,1,2016,1166.2,1233,2416
1,2,5,2015,475.1,2,2017,520.6,1747,2500
1,2,5,2015,475.1,3,2018,361.7,2104,2558
1,2,5,2015,475.1,4,2019,743.7,2838,2678
1,2,5,2015,475.1,5,2020,431.5,3264,2748
1,2,5,2015,475.1,edge,,172.4,3434,2776
10,1,1,2019,1086.4,core,,,146,1402
10,1,1,2019,1086.4,1,2020,2446.6,2549,1863
10,1,1,2019,1086.4,edge,,822.1,3356,2018
11,2,3,2017,770.6,core,,,550,1615
11,2,3,2017,770.6,1,2018,1298.8,1847,1678
11,2,3,2017,770.6,2,2019,956.7,2803,1724
11,2,3,2017,770.6,3,2020,440.1,3242,1745
11,2,3,2017,770.6,edge,,312.8,3555,1760
12,2,5,2015,895.1,core,,,405,1458
12,2,5,2015,895.1,1,2016,1237.8,1613,1729
12,2,5,2015,895.1,2,2017,840.9,2434,1913
12,2,5,2015,895.1,3,2018,512.4,2934,2025
12,2,5,2015,895.1,4,2019,386.0,3310,2109
12,2,5,2015,895.1,5,2020,269.1,3573,2168
12,2,5,2015,895.1,edge,,119.6,3690,2194
13,2,3,2017,870.4,core,,,348,1240
13,2,3,2017,870.4,1,2018,1701.6,2049,1295
13,2,3,2017,870.4,2,2019,255.7,2304,1303
13,2,3,2017,870.4,3,2020,452.2,2756,1318
13,2,3,2017,870.4,edge,,67.8,2824,1320
14,3,8,2012,1121.4,core,,,888,2976
14,3,8,2012,1121.4,1,2013,1831.0,2685,2624
14,3,8,2012,1121.4,2,2014,326.3,3005,2561
14,3,8,2012,1121.4,3,2015,320.0,3319,2500
14,3,8,2012,1121.4,4,2016,238.4,3553,2454
14,3,8,2012,1121.4,5,2017,251.1,3799,2405
14,3,8,2012,1121.4,6,2018,123.9,3921,2382
14,3,8,2012,1121.4,7,2019,139.6,4058,2355
14,3,8,2012,1121.4,8,2020,291.9,4345,2299
14,3,8,2012,1121.4,edge,,138.1,4480,2272
15,2,7,2013,831.5,core,,,638,1728
15,2,7,2013,831.5,1,2014,1402.5,2000,2064
15,2,7,2013,831.5,2,2015,562.9,2547,2198
15,2,7,2013,831.5,3,2016,419.1,2954,2299
15,2,7,2013,831.5,4,2017,286.0,3231,2367
15,2,7,2013,831.5,5,2018,284.6,3508,2435
15,2,7,2013,831.5,6,2019,164.2,3667,2475
15,2,7,2013,831.5,7,2020,115.7,3779,2502
15,2,7,2013,831.5,edge,,131.4,3907,2534
16,2,2,2018,630.4,core,,,570,1136
16,2,2,2018,630.4,1,2019,1183.0,1753,1164
16,2,2,2018,630.4,2,2020,506.5,2259,1176
16,2,2,2018,630.4,edge,,480.7,2740,1187
17,2,6,2014,997.8,core,,,1959,2884
17,2,6,2014,997.8,1,2015,1900.8,3859,2822
17,2,6,2014,997.8,2,2016,605.9,4464,2803
17,2,6,2014,997.8,3,2017,412.0,4876,2789
17,2,6,2014,997.8,4,2018,403.4,5279,2776
17,2,6,2014,997.8,5,2019,261.9,5541,2768
17,2,6,2014,997.8,6,2020,192.7,5734,2762
17,2,6,2014,997.8,edge,,118.2,5852,2758
18,2,2,2018,611.5,core,,,1128,1716
18,2,2,2018,611.5,1,2019,1267.5,2346,1364
18,2,2,2018,611.5,2,2020,453.3,2781,1238
18,2,2,2018,611.5,edge,,396.5,3162,1128
19,2,3,2017,943.7,core,,,900,1788
19,2,3,2017,943.7,1,2018,1699.2,2564,1445
19,2,3,2017,943.7,2,2019,289.5,2848,1387
19,2,3,2017,943.7,3,2020,363.5,3204,1313
19,2,3,2017,943.7,edge,,263.6,3462,1260
2,3,3,2017,707.3,core,,,1044,1104
2,3,3,2017,707.3,1,2018,716.3,1760,1118
2,3,3,2017,707.3,2,2019,808.2,2568,1135
2,3,3,2017,707.3,3,2020,611.8,3180,1147
2,3,3,2017,707.3,edge,,52.1,3232,1148
20,1,5,2015,933.3,core,,,384,1703
20,1,5,2015,933.3,1,2016,1256.4,1632,1853
20,1,5,2015,933.3,2,2017,286.0,1916,1887
20,1,5,2015,933.3,3,2018,674.7,2586,1968
20,1,5,2015,933.3,4,2019,743.0,3323,2056
20,1,5,2015,933.3,5,2020,357.9,3679,2099
20,1,5,2015,933.3,edge,,297.1,3973,2135
21,3,4,2016,700.0,core,,,786,1428
21,3,4,2016,700.0,1,2017,1488.4,2268,1285
21,3,4,2016,700.0,2,2018,488.4,2754,1238
21,3,4,2016,700.0,3,2019,331.9,3084,1206
21,3,4,2016,700.0,4,2020,327.7,3410,1175
21,3,4,2016,700.0,edge,,172.6,3582,1158
22,1,2,2018,834.3,core,,,1536,2196
22,1,2,2018,834.3,1,2019,1896.5,3365,1693
22,1,2,2018,834.3,2,2020,623.1,3965,1528
22,1,2,2018,834.3,edge,,286.8,4242,1452
23,2,6,2014,539.4,core,,,831,1078
23,2,6,2014,539.4,1,2015,886.7,1714,995
23,2,6,2014,539.4,2,2016,298.5,2011,967
23,2,6,2014,539.4,3,2017,169.7,2180,951
23,2,6,2014,539.4,4,2018,327.0,2506,921
23,2,6,2014,539.4,5,2019,228.7,2734,899
23,2,6,2014,539.4,6,2020,166.7,2900,884
23,2,6,2014,539.4,edge,,304.0,3202,855
24,2,8,2012,567.0,core,,,796,1971
24,2,8,2012,567.0,1,2013,1103.8,1705,2597
24,2,8,2012,567.0,2,2014,269.2,1926,2750
24,2,8,2012,567.0,3,2015,546.6,2376,3060
24,2,8,2012,567.0,4,2016,443.2,2741,3311
24,2,8,2012,567.0,5,2017,326.3,3010,3497
24,2,8,2012,567.0,6,2018,293.2,3251,3663
24,2,8,2012,567.0,7,2019,279.3,3481,3821
24,2,8,2012,567.0,8,2020,154.2,3608,3909
24,2,8,2012,567.0,edge,,147.7,3730,3993
25,2,7,2013,793.0,core,,,544,3048
25,2,7,2013,793.0,1,2014,1524.2,2009,3469
25,2,7,2013,793.0,2,2015,428.5,2421,3587
25,2,7,2013,793.0,3,2016,326.4,2734,3677
25,2,7,2013,793.0,4,2017,356.1,3077,3776
25,2,7,2013,793.0,5,2018,381.3,3443,3881
25,2,7,2013,793.0,6,2019,262.7,3696,3954
25,2,7,2013,793.0,7,2020,218.6,3906,4014
25,2,7,2013,793.0,edge,,123.1,4024,4048
26,3,5,2015,950.9,core,,,703,2239
26,3,5,2015,950.9,1,2016,1384.5,2072,2031
26,3,5,2015,950.9,2,2017,742.7,2806,1919
26,3,5,2015,950.9,3,2018,460.5,3261,1850
26,3,5,2015,950.9,4,2019,441.8,3698,1784
26,3,5,2015,950.9,5,2020,421.0,4114,1721
26,3,5,2015,950.9,edge,,214.3,4326,1688
27,2,2,2018,948.4,core,,,588,1896
27,2,2,2018,948.4,1,2019,1918.1,2439,1394
27,2,2,2018,948.4,2,2020,636.2,3053,1228
27,2,2,2018,948.4,edge,,404.7,3444,1122
28,2,3,2017,1119.7,core,,,858,1381
28,2,3,2017,1119.7,1,2018,1482.8,2341,1412
28,2,3,2017,1119.7,2,2019,1084.3,3425,1435
28,2,3,2017,1119.7,3,2020,774.4,4199,1451
28,2,3,2017,1119.7,edge,,239.2,4438,1456
29,3,4,2016,739.0,core,,,390,1500
29,3,4,2016,739.0,1,2017,1402.6,1435,2436
29,3,4,2016,739.0,2,2018,763.5,2003,2946
29,3,4,2016,739.0,3,2019,395.6,2298,3210
29,3,4,2016,739.0,4,2020,209.7,2454,3349
29,3,4,2016,739.0,edge,,96.7,2526,3414
3,2,3,2017,1009.3,core,,,690,1612
3,2,3,2017,1009.3,1,2018,1462.1,2151,1565
3,2,3,2017,1009.3,2,2019,1021.7,3172,1533
3,2,3,2017,1009.3,3,2020,621.1,3793,1513
3,2,3,2017,1009.3,edge,,129.8,3923,1509
30,2,4,2016,934.2,core,,,156,1446
30,2,4,2016,934.2,1,2017,1454.8,1602,1292
30,2,4,2016,934.2,2,2018,505.5,2105,1239
30,2,4,2016,934.2,3,2019,408.3,2511,1196
30,2,4,2016,934.2,4,2020,367.3,2876,1157
30,2,4,2016,934.2,edge,,300.6,3175,1125
