Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
1,2,4,2016,792.0,core,,,524,2475
1,2,4,2016,792.0,1,2017,1702.1,2224,2552
1,2,4,2016,792.0,2,2018,620.3,2844,2580
1,2,4,2016,792.0,3,2019,556.3,3400,2605
1,2,4,2016,792.0,4,2020,352.9,3752,2621
1,2,4,2016,792.0,edge,,320.0,4072,2635
10,1,2,2018,1276.7,core,,,291,1494
10,1,2,2018,1276.7,1,2019,1463.3,1734,1250
10,1,2,2018,1276.7,2,2020,1024.9,2744,1079
10,1,2,2018,1276.7,edge,,28.1,2772,1074
11,3,11,2009,876.2,core,,,108,2546
11,3,11,2009,876.2,1,2010,1183.9,1292,2548
11,3,11,2009,876.2,2,2011,634.5,1927,2549
11,3,11,2009,876.2,3,2012,356.0,2283,2549
11,3,11,2009,876.2,4,2013,371.4,2654,2550
11,3,11,2009,876.2,5,2014,286.3,2940,2550
11,3,11,2009,876.2,6,2015,503.0,3443,2551
11,3,11,2009,876.2,7,2016,147.0,3590,2551
11,3,11,2009,876.2,8,2017,417.9,4008,2552
11,3,11,2009,876.2,9,2018,386.9,4395,2553
11,3,11,2009,876.2,10,2019,232.2,4627,2553
11,3,11,2009,876.2,11,2020,232.1,4860,2553
11,3,11,2009,876.2,edge,,131.5,4991,2554
12,2,1,2019,1291.1,core,,,287,1275
12,2,1,2019,1291.1,1,2020,1348.3,1632,1181
12,2,1,2019,1291.1,edge,,1256.7,2886,1094
13,2,11,2009,586.2,core,,,523,2732
13,2,11,2009,586.2,1,2010,906.9,1328,2314
13,2,11,2009,586.2,2,2011,330.4,1621,2162
13,2,11,2009,586.2,3,2012,221.1,1817,2060
13,2,11,2009,586.2,4,2013,159.0,1958,1986
13,2,11,2009,586.2,5,2014,430.3,2340,1788
13,2,11,2009,586.2,6,2015,252.3,2564,1672
13,2,11,2009,586.2,7,2016,290.1,2821,1538
13,2,11,2009,586.2,8,2017,189.9,2990,1450
13,2,11,2009,586.2,9,2018,174.6,3145,1370
13,2,11,2009,586.2,10,2019,206.0,3328,1275
13,2,11,2009,586.2,11,2020,171.4,3480,1196
13,2,11,2009,586.2,edge,,115.3,3582,1143
14,2,2,2018,1206.4,core,,,518,1768
14,2,2,2018,1206.4,1,2019,1978.0,2447,1328
14,2,2,2018,1206.4,2,2020,548.4,2981,1206
14,2,2,2018,1206.4,edge,,96.0,3075,1185
15,2,11,2009,678.6,core,,,1221,2676
15,2,11,2009,678.6,1,2010,972.2,2094,2248
15,2,11,2009,678.6,2,2011,725.5,2745,1928
15,2,11,2009,678.6,3,2012,385.4,3091,1759
15,2,11,2009,678.6,4,2013,381.2,3434,1591
15,2,11,2009,678.6,5,2014,359.2,3756,1433
15,2,11,2009,678.6,6,2015,269.1,3998,1314
15,2,11,2009,678.6,7,2016,194.5,4172,1229
15,2,11,2009,678.6,8,2017,269.4,4414,1110
15,2,11,2009,678.6,9,2018,112.0,4515,1061
15,2,11,2009,678.6,10,2019,97.2,4602,1018
15,2,11,2009,678.6,11,2020,49.2,4646,996
15,2,11,2009,678.6,edge,,3.2,4649,995
16,2,7,2013,602.4,core,,,731,2305
16,2,7,2013,602.4,1,2014,1207.5,1859,2734
16,2,7,2013,602.4,2,2015,810.8,2617,3022
16,2,7,2013,602.4,3,2016,635.2,3211,3248
16,2,7,2013,602.4,4,2017,273.7,3467,3345
16,2,7,2013,602.4,5,2018,160.8,3617,3402
16,2,7,2013,602.4,6,2019,151.6,3759,3456
16,2,7,2013,602.4,7,2020,73.9,3828,3483
16,2,7,2013,602.4,edge,,69.2,3892,3507
17,1,2,2018,732.2,core,,,428,1423
17,1,2,2018,732.2,1,2019,1534.7,1952,1246
17,1,2,2018,732.2,2,2020,974.3,2920,1133
17,1,2,2018,732.2,edge,,433.9,3351,1083
18,2,4,2016,587.3,core,,,876,1896
18,2,4,2016,587.3,1,2017,703.4,1488,1549
18,2,4,2016,587.3,2,2018,596.8,2008,1256
18,2,4,2016,587.3,3,2019,256.8,2231,1129
18,2,4,2016,587.3,4,2020,431.3,2607,917
18,2,4,2016,587.3,edge,,325.2,2890,757
19,2,6,2014,531.3,core,,,207,2379
19,2,6,2014,531.3,1,2015,826.4,834,1841
19,2,6,2014,531.3,2,2016,465.9,1188,1538
19,2,6,2014,531.3,3,2017,457.7,1535,1240
19,2,6,2014,531.3,4,2018,510.7,1923,908
19,2,6,2014,531.3,5,2019,502.5,2305,581
19,2,6,2014,531.3,6,2020,372.1,2587,339
19,2,6,2014,531.3,edge,,97.1,2661,275
2,1,2,2018,1185.3,core,,,51,1735
2,1,2,2018,1185.3,1,2019,1506.5,1558,1709
2,1,2,2018,1185.3,2,2020,694.9,2252,1696
2,1,2,2018,1185.3,edge,,755.4,3008,1683
20,3,9,2011,515.6,core,,,192,2816
20,3,9,2011,515.6,1,2012,859.0,1049,2880
20,3,9,2011,515.6,2,2013,538.1,1585,2921
20,3,9,2011,515.6,3,2014,357.2,1941,2947
20,3,9,2011,515.6,4,2015,265.7,2206,2967
20,3,9,2011,515.6,5,2016,224.6,2430,2984
20,3,9,2011,515.6,6,2017,292.0,2721,3006
20,3,9,2011,515.6,7,2018,413.6,3134,3037
20,3,9,2011,515.6,8,2019,212.2,3345,3053
20,3,9,2011,515.6,9,2020,288.4,3633,3074
20,3,9,2011,515.6,edge,,183.5,3816,3088
21,2,7,2013,550.2,core,,,85,2837
21,2,7,2013,550.2,1,2014,723.8,777,2624
21,2,7,2013,550.2,2,2015,703.1,1449,2418
21,2,7,2013,550.2,3,2016,537.8,1963,2260
21,2,7,2013,550.2,4,2017,524.8,2465,2106
21,2,7,2013,550.2,5,2018,405.6,2852,1987
21,2,7,2013,550.2,6,2019,293.1,3133,1901
21,2,7,2013,550.2,7,2020,299.9,3419,1813
21,2,7,2013,550.2,edge,,252.3,3660,1739
22,2,5,2015,580.2,core,,,398,1635
22,2,5,2015,580.2,1,2016,906.4,1304,1641
22,2,5,2015,580.2,2,2017,550.7,1855,1644
22,2,5,2015,580.2,3,2018,609.8,2465,1648
22,2,5,2015,580.2,4,2019,588.8,3054,1652
22,2,5,2015,580.2,5,2020,550.6,3604,1656
22,2,5,2015,580.2,edge,,50.8,3655,1656
23,2,8,2012,661.6,core,,,52,2712
23,2,8,2012,661.6,1,2013,762.3,725,2353
23,2,8,2012,661.6,2,2014,254.5,949,2233
23,2,8,2012,661.6,3,2015,368.6,1275,2060
23,2,8,2012,661.6,4,2016,291.8,1532,1923
23,2,8,2012,661.6,5,2017,243.7,1747,1808
23,2,8,2012,661.6,6,2018,382.5,2085,1628
23,2,8,2012,661.6,7,2019,479.4,2507,1402
23,2,8,2012,661.6,8,2020,485.5,2936,1174
23,2,8,2012,661.6,edge,,272.2,3176,1046
24,2,2,2018,1033.6,core,,,421,2508
24,2,2,2018,1033.6,1,2019,947.7,1352,2331
24,2,2,2018,1033.6,2,2020,1095.5,2428,2126
24,2,2,2018,1033.6,edge,,1465.7,3868,1851
25,2,2,2018,758.7,core,,,564,1207
25,2,2,2018,758.7,1,2019,943.3,1414,798
25,2,2,2018,758.7,2,2020,548.7,1908,560
25,2,2,2018,758.7,edge,,129.4,2025,504
26,2,2,2018,704.1,core,,,526,1528
26,2,2,2018,704.1,1,2019,913.1,1439,1548
26,2,2,2018,704.1,2,2020,1146.4,2586,1572
26,2,2,2018,704.1,edge,,161.5,2747,1575
27,2,3,2017,951.4,core,,,303,1667
27,2,3,2017,951.4,1,2018,1178.2,1465,1472
27,2,3,2017,951.4,2,2019,765.0,2219,1345
27,2,3,2017,951.4,3,2020,284.3,2499,1298
27,2,3,2017,951.4,edge,,77.0,2575,1286
28,2,2,2018,836.0,core,,,312,1232
28,2,2,2018,836.0,1,2019,1405.3,1716,1168
28,2,2,2018,836.0,2,2020,1526.1,3240,1098
28,2,2,2018,836.0,edge,,127.9,3368,1092
29,2,3,2017,759.7,core,,,576,1018
29,2,3,2017,759.7,1,2018,1156.6,1733,999
29,2,3,2017,759.7,2,2019,237.4,1970,996
29,2,3,2017,759.7,3,2020,270.2,2240,991
29,2,3,2017,759.7,edge,,379.4,2620,985
3,2,5,2015,1203.7,core,,,312,2715
3,2,5,2015,1203.7,1,2016,1571.2,1749,2080
3,2,5,2015,1203.7,2,2017,558.1,2259,1855
3,2,5,2015,1203.7,3,2018,448.1,2669,1674
3,2,5,2015,1203.7,4,2019,388.7,3025,1517
3,2,5,2015,1203.7,5,2020,415.8,3405,1349
3,2,5,2015,1203.7,edge,,235.0,3620,1254
30,1,1,2019,1331.8,core,,,412,1384
30,1,1,2019,1331.8,1,2020,1885.9,2296,1303
30,1,1,2019,1331.8,edge,,252.1,2548,1292
31,1,3,2017,1175.0,core,,,585,1542
31,1,3,2017,1175.0,1,2018,1508.5,2092,1492
31,1,3,2017,1175.0,2,2019,585.0,2677,1472
31,1,3,2017,1175.0,3,2020,590.6,3267,1453
31,1,3,2017,1175.0,edge,,87.0,3354,1450
32,2,6,2014,787.1,core,,,390,2312
32,2,6,2014,787.1,1,2015,1110.8,1443,1959
32,2,6,2014,787.1,2,2016,346.0,1772,1849
32,2,6,2014,787.1,3,2017,570.3,2312,1668
32,2,6,2014,787.1,4,2018,443.2,2733,1527
32,2,6,2014,787.1,5,2019,409.5,3121,1397
32,2,6,2014,787.1,6,2020,282.4,3389,1307
32,2,6,2014,787.1,edge,,168.3,3548,1254
33,2,9,2011,916.2,core,,,322,4201
33,2,9,2011,916.2,1,2012,1625.3,1792,3507
33,2,9,2011,916.2,2,2013,359.9,2117,3353
33,2,9,2011,916.2,3,2014,331.1,2417,3211
33,2,9,2011,916.2,4,2015,258.9,2651,3101
33,2,9,2011,916.2,5,2016,309.4,2930,2968
33,2,9,2011,916.2,6,2017,195.3,3107,2885
33,2,9,2011,916.2,7,2018,186.8,3276,2805
33,2,9,2011,916.2,8,2019,275.6,3525,2687
33,2,9,2011,916.2,9,2020,458.3,3939,2491
33,2,9,2011,916.2,edge,,614.8,4495,2229
34,2,5,2015,1251.8,core,,,472,2610
34,2,5,2015,1251.8,1,2016,1586.6,1926,1977
34,2,5,2015,1251.8,2,2017,462.5,2350,1792
34,2,5,2015,1251.8,3,2018,484.1,2794,1599
34,2,5,2015,1251.8,4,2019,295.7,3065,1481
34,2,5,2015,1251.8,5,2020,252.8,3297,1380
34,2,5,2015,1251.8,edge,,321.3,3592,1252
35,2,5,2015,702.6,core,,,591,1353
35,2,5,2015,702.6,1,2016,555.9,1066,1064
