measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;Distance_um
1;A;margin;10.09.2021;NA;-3252;7065;;0.02;0.1657;1202.767642
2;A;BH-00355;10.09.2021;-7.8543718;-3218;7056;0.19;0.16;0.0428;1167.604813
3;A;BH-00355;10.09.2021;-9.0668843;-3184;7047;0.19;0.1;0.0504;1132.442493
4;A;BH-00355;10.09.2021;-7.1074641;-3150;7039;0.17;0.14;0.0439;1097.514465
5;A;BH-00355;10.09.2021;-4.9249416;-3116;7031;0.18;0.06;0.0433;1062.586467
6;A;BH-00355;10.09.2021;-5.8658513;-3082;7022;0.21;0.1;0.0461;1027.42445
7;A;BH-00355;10.09.2021;-7.8543718;-3048;7014;0.14;0.11;0.0449;992.4963476
8;A;BH-00355;10.09.2021;-7.5342685;-3014;7006;0.18;0.12;0.0453;957.5682743
9;A;BH-00355;10.09.2021;-8.8049816;-2980;6997;0.21;0.06;0.0469;922.4066348
10;A;BH-00355;10.09.2021;-8.7661812;-2946;6989;0.19;0.08;0.0475;887.4784504
11;A;BH-00355;10.09.2021;-8.0968743;-2912;6981;0.2;0.19;0.0485;852.5502918
12;A;BH-00355;10.09.2021;-8.4169776;-2878;6973;0.19;0.05;0.0441;817.6221621
13;A;BH-00355;10.09.2021;-8.9601832;-2844;6964;0.13;0.15;0.0455;782.4608616
14;A;BH-00355;10.09.2021;-8.7855814;-2810;6956;0.2;0.1;0.0472;747.532608
15;A;BH-00355;10.09.2021;-7.7961712;-2776;6948;0.18;0.12;0.0438;712.6043783
16;A;BH-00355;10.09.2021;-6.4478573;-2742;6939;0.18;0.13;0.0412;677.4437246
17;A;BH-00355;10.09.2021;-7.5924691;-2708;6931;0.14;0.1;0.0432;642.5153695
18;A;BH-00355;10.09.2021;-8.2520759;-2674;6923;0.19;0.17;0.0458;607.5870308
20;A;BH-00355;11.09.2021;-8.8534821;-2640;6915;0.16;0.14;0.0481;572.6587116
21;A;BH-00355;11.09.2021;-8.9989836;-2606;6906;0.2;0.09;0.0476;537.4988372
23;A;BH-00355;11.09.2021;-9.1250849;-2538;6890;0.22;0.11;0.0474;467.6419571
