measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;site;Distance_um
1;17;margin;04.06.2021;-3.8870309;-3150;4521;0.123;0.087;0.048;WRB;974.3433686
2;17;BH-01809;04.06.2021;-5.0025424;-3113;4537;0.115;0.113;0.048;WRB;934.0374725
3;17;BH-01809;04.06.2021;-4.8764411;-3076;4553;0.106;0.122;0.045;WRB;893.7320628
4;17;BH-01809;04.06.2021;-5.2062445;-3039;4570;0.151;0.085;0.044;WRB;853.0140679
5;17;BH-01809;04.06.2021;-5.73975;-3002;4587;0.123;0.129;0.045;WRB;812.2961283
6;17;BH-01809;04.06.2021;-5.4293468;-2965;4603;0.139;0.115;0.046;WRB;771.9909326
7;17;BH-01809;04.06.2021;-5.9531522;-2928;4620;0.123;0.15;0.048;WRB;731.2728629
8;17;BH-01809;04.06.2021;-4.3332355;-2891;4637;0.099;0.101;0.046;WRB;690.5548494
9;17;BH-01809;04.06.2021;-6.3411562;-2854;4654;0.124;0.085;0.055;WRB;649.8369026
10;17;BH-01809;04.06.2021;-5.7979506;-2817;4670;0.121;0.102;0.058;WRB;609.5317875
11;17;BH-01809;04.06.2021;-4.9831422;-2780;4687;0.127;0.093;0.051;WRB;568.8136778
12;17;BH-01809;04.06.2021;-5.7688503;-2743;4704;0.136;0.141;0.06;WRB;528.0956353
13;17;BH-01809;04.06.2021;-4.1295334;-2706;4721;0.086;0.146;0.048;WRB;487.377677
14;17;BH-01809;04.06.2021;-3.7512295;-2669;4737;0.126;0.048;0.047;WRB;447.072701
15;17;BH-01809;04.06.2021;-4.9831422;-2632;4754;0.112;0.077;0.048;WRB;406.354525
16;17;BH-01809;04.06.2021;-4.9346417;-2595;4771;0.112;0.094;0.054;WRB;365.6364314
17;17;BH-01809;04.06.2021;-6.3896567;-2558;4788;0.122;0.044;0.059;WRB;324.9184513
18;17;BH-01809;04.06.2021;-6.4769576;-2521;4805;0.14;0.122;0.051;WRB;284.2006334
19;17;BH-01809;04.06.2021;-6.806761;-2484;4821;0.11;0.15;0.061;WRB;243.8954694
20;17;BH-01809;04.06.2021;-6.9619626;-2447;4838;0.101;0.101;0.058;WRB;203.1772625
21;17;BH-01809;04.06.2021;-8.0289736;-2410;4855;0.171;0.038;0.055;WRB;162.4592257
22;17;BH-01809;04.06.2021;-8.1550749;-2373;4871;0.123;0.035;0.053;WRB;122.1556384
