ID;ID2;date;Distance_um;d18O;OH;SE_permill;SE_percent
17;margin;04.06.2021;974.3433686;-3.8870309;0.048;0.123;0.087
17;BH-01809;04.06.2021;934.0374725;-5.0025424;0.048;0.115;0.113
17;BH-01809;04.06.2021;893.7320628;-4.8764411;0.045;0.106;0.122
17;BH-01809;04.06.2021;853.0140679;-5.2062445;0.044;0.151;0.085
17;BH-01809;04.06.2021;812.2961283;-5.73975;0.045;0.123;0.129
17;BH-01809;04.06.2021;771.9909326;-5.4293468;0.046;0.139;0.115
17;BH-01809;04.06.2021;731.2728629;-5.9531522;0.048;0.123;0.15
17;BH-01809;04.06.2021;690.5548494;-4.3332355;0.046;0.099;0.101
17;BH-01809;04.06.2021;649.8369026;-6.3411562;0.055;0.124;0.085
17;BH-01809;04.06.2021;609.5317875;-5.7979506;0.058;0.121;0.102
17;BH-01809;04.06.2021;568.8136778;-4.9831422;0.051;0.127;0.093
17;BH-01809;04.06.2021;528.0956353;-5.7688503;0.06;0.136;0.141
17;BH-01809;04.06.2021;487.377677;-4.1295334;0.048;0.086;0.146
17;BH-01809;04.06.2021;447.072701;-3.7512295;0.047;0.126;0.048
17;BH-01809;04.06.2021;406.354525;-4.9831422;0.048;0.112;0.077
17;BH-01809;04.06.2021;365.6364314;-4.9346417;0.054;0.112;0.094
17;BH-01809;04.06.2021;324.9184513;-6.3896567;0.059;0.122;0.044
17;BH-01809;04.06.2021;284.2006334;-6.4769576;0.051;0.14;0.122
17;BH-01809;04.06.2021;243.8954694;-6.806761;0.061;0.11;0.15
17;BH-01809;04.06.2021;203.1772625;-6.9619626;0.058;0.101;0.101
17;BH-01809;04.06.2021;162.4592257;-8.0289736;0.055;0.171;0.038
17;BH-01809;04.06.2021;122.1556384;-8.1550749;0.053;0.123;0.035
17;BH-01809;04.06.2021;81.43709229;-7.6215694;0.051;0.111;0.079
17;BH-01809;04.06.2021;40.71854614;-8.2811762;0.058;0.117;0.117
17;core;04.06.2021;0;-8.1453748;0.053;0.137;0.097
18;margin;04.06.2021;1994.185548;-6.5836587;0.042;0.138;0.301
18;BH-01737;04.06.2021;1954.226445;-6.2538553;0.041;0.124;0.028
18;BH-01737;04.06.2021;1914.267484;-6.3120559;0.037;0.103;0.092
18;BH-01737;04.06.2021;1874.308673;-4.9249416;0.041;0.118;0.169
18;BH-01737;04.06.2021;1835.208163;-6.4478573;0.051;0.123;0.167
18;BH-01737;04.06.2021;1795.249843;-7.2723658;0.045;0.128;0.253
18;BH-01737;04.06.2021;1756.150335;-7.3693668;0.048;0.112;0.13
18;BH-01737;04.06.2021;1716.704983;-5.0413428;0.045;0.117;0.184
18;BH-01737;04.06.2021;1678.118291;-6.6030589;0.046;0.099;0.087
18;BH-01737;04.06.2021;1638.672939;-6.2732555;0.048;0.092;0.083
18;BH-01737;04.06.2021;1600.086248;-6.7388603;0.046;0.13;0.106
18;BH-01737;04.06.2021;1560.640894;-5.9919526;0.043;0.113;0.128
18;BH-01737;04.06.2021;1522.054204;-4.866741;0.042;0.12;0.052
18;BH-01737;04.06.2021;1482.608849;-6.3314561;0.044;0.114;0.085
18;BH-01737;04.06.2021;1444.02216;-6.0016527;0.045;0.122;0.117
18;BH-01737;04.06.2021;1404.576805;-6.6612595;0.046;0.125;0.044
18;BH-01737;04.06.2021;1365.990117;-4.9249416;0.043;0.11;0.066
18;BH-01737;04.06.2021;1326.54476;-4.2653348;0.044;0.112;0.122
18;BH-01737;04.06.2021;1287.099452;-4.8376407;0.042;0.139;0.043
18;BH-01737;04.06.2021;1248.512715;-6.0695534;0.044;0.109;0.158
18;BH-01737;04.06.2021;1209.067409;-6.6030589;0.044;0.137;0.097
18;BH-01737;04.06.2021;1170.48067;-6.5351582;0.045;0.094;0.059
18;BH-01737;04.06.2021;1131.035366;-5.7785504;0.043;0.096;0.088
18;BH-01737;04.06.2021;1092.448626;-5.7203498;0.044;0.146;0.106
18;BH-01737;04.06.2021;1053.003324;-3.79973;0.043;0.121;0.137
18;BH-01737;04.06.2021;1014.416581;-5.1480439;0.042;0.142;0.079
18;BH-01737;04.06.2021;974.9712816;-5.9143518;0.044;0.094;0.103
18;BH-01737;04.06.2021;936.3845364;-5.9822525;0.046;0.091;0.083
18;BH-01737;04.06.2021;896.9392399;-7.2141652;0.047;0.129;0.075
18;BH-01737;04.06.2021;858.3524917;-6.806761;0.046;0.111;0.151
18;BH-01737;04.06.2021;818.9071986;-6.7679606;0.048;0.144;0.069
18;BH-01737;04.06.2021;780.320447;-4.4302365;0.045;0.111;0.056
18;BH-01737;04.06.2021;740.8751582;-7.8931722;0.043;0.135;0.085
18;BH-01737;04.06.2021;702.2884023;-7.3111662;0.043;0.113;0.107
18;BH-01737;04.06.2021;662.8431187;-7.7864711;0.046;0.124;0.068
18;BH-01737;04.06.2021;623.3979467;-7.3984671;0.047;0.136;0.103
18;BH-01737;04.06.2021;584.8110806;-7.3790669;0.05;0.087;0.126
18;BH-01737;04.06.2021;545.3659322;-4.9152415;0.048;0.114;0.034
18;BH-01737;04.06.2021;506.7790446;-6.2344551;0.047;0.099;0.099
18;BH-01737;04.06.2021;467.3339277;-7.1365644;0.048;0.125;0.065
18;BH-01737;04.06.2021;428.7470117;-6.9134621;0.048;0.12;0.11
18;BH-01737;04.06.2021;389.3019394;-8.2035754;0.054;0.124;0.153
18;BH-01737;04.06.2021;350.714984;-6.8649616;0.049;0.12;0.103
18;BH-01737;04.06.2021;311.2699793;-6.8455614;0.053;0.108;0.132
18;BH-01737;04.06.2021;272.6829661;-4.4399366;0.046;0.117;0.041
18;BH-01737;04.06.2021;233.2380758;-5.1092435;0.046;0.128;0.051
18;BH-01737;04.06.2021;194.6509697;-4.4496367;0.044;0.1;0.014
18;BH-01737;04.06.2021;155.2063143;-4.9346417;0.042;0.105;0.024
18;BH-01737;04.06.2021;116.6190379;-6.3605564;0.047;0.158;0.077
18;BH-01737;04.06.2021;77.17512553;-6.1762545;0.042;0.123;0.077
18;BH-01737;04.06.2021;37.73592453;-5.4196467;0.041;0.111;0.077
18;core;04.06.2021;0;-4.5466377;0.037;0.119;0.058
20;margin;04.06.2021;1215.076129;-6.321756;0.048;0.129;0.129
20;BH-01802;04.06.2021;1175.415246;-4.575738;0.045;0.104;0.056
20;BH-01802;04.06.2021;1135.754375;-5.5263478;0.049;0.103;0.048
20;BH-01802;04.06.2021;1096.093518;-7.4372675;0.06;0.131;0.054
20;BH-01802;04.06.2021;1056.432677;-7.3402665;0.053;0.153;0.065
20;BH-01802;04.06.2021;1016.771852;-5.7009496;0.055;0.114;0.1
20;BH-01802;04.06.2021;977.1110479;-5.0510429;0.054;0.109;0.081
20;BH-01802;04.06.2021;937.4502653;-5.060743;0.049;0.114;0.075
20;BH-01802;04.06.2021;897.7895076;-7.0783638;0.056;0.09;0.03
20;BH-01802;04.06.2021;858.1287782;-4.3623358;0.045;0.134;0.044
20;BH-01802;04.06.2021;818.4680812;-5.3032455;0.047;0.101;0.029
20;BH-01802;04.06.2021;778.8074216;-6.3411562;0.047;0.097;0.111
20;BH-01802;04.06.2021;739.1468054;-6.5642585;0.046;0.124;0.073
20;BH-01802;04.06.2021;699.48624;-6.3993568;0.049;0.086;0.055
20;BH-01802;04.06.2021;659.8257346;-6.3314561;0.051;0.109;0.088
20;BH-01802;04.06.2021;620.1653005;-6.3993568;0.051;0.105;0.041
20;BH-01802;04.06.2021;580.5049526;-5.6815494;0.05;0.106;0.049
20;BH-01802;04.06.2021;540.8447097;-4.5466377;0.047;0.124;0.085
20;BH-01802;04.06.2021;502.012948;-5.4002465;0.049;0.144;0.069
20;BH-01802;04.06.2021;463.18139;-6.1859546;0.049;0.134;0.08
20;BH-01802;04.06.2021;424.3500913;-7.970773;0.054;0.121;0.126
20;BH-01802;04.06.2021;385.5191305;-7.3208663;0.048;0.121;0.077
20;BH-01802;04.06.2021;346.6886211;-7.0104631;0.054;0.114;0.12
20;BH-01802;04.06.2021;307.8587338;-7.1559646;0.055;0.082;0.125
20;BH-01802;04.06.2021;269.0297381;-7.5342685;0.05;0.129;0.079
20;BH-01802;04.06.2021;230.2020851;-8.5333788;0.05;0.1;0.065
20;BH-01802;04.06.2021;191.3765921;-6.515758;0.046;0.108;0.054
20;BH-01802;04.06.2021;153.1012737;-7.2529656;0.051;0.134;0.036
20;BH-01802;04.06.2021;114.8259553;-8.358777;0.051;0.13;0.026
20;BH-01802;04.06.2021;76.55063684;-6.9619626;0.045;0.149;0.054
20;BH-01802;05.06.2021;38.27531842;-8.7370809;0.05;0.128;0.035
20;core;05.06.2021;0;-7.9222725;0.047;0.116;0.206
21;margin;05.06.2021;2053.90214;-6.7679606;0.051;0.012;0.093
