Sample	Quality	Age	Cohort	Piscivorous	I	Year	Increment	X	Y
1	3	7	2013	1386.3	Piscivorous			848	1484
1	3	7	2013	1386.3	1	2014	2675.8	795	978
1	3	7	2013	1386.3	2	2015	2088.5	753	584
1	3	7	2013	1386.3	3	2016	1084.0	732	379
1	3	7	2013	1386.3	4	2017	697.6	718	247
1	3	7	2013	1386.3	5	2018	444.0	709	163
1	3	7	2013	1386.3	6	2019	170.7	706	131
1	3	7	2013	1386.3	7	2020	158.9	702	101
1	3	7	2013	1386.3	edge		141.4	700	74
10	3	3	2017	1542.6	Piscivorous			646	1135
10	3	3	2017	1542.6	1	2018	2248.7	661	708
10	3	3	2017	1542.6	2	2019	2022.7	674	324
10	3	3	2017	1542.6	3	2020	1144.5	681	107
10	3	3	2017	1542.6	edge		196.6	682	69
11	3	12	2008	632.4	Piscivorous			840	1521
11	3	12	2008	632.4	1	2009	1365.3	844	1262
11	3	12	2008	632.4	2	2010	705.6	847	1128
11	3	12	2008	632.4	3	2011	789.6	849	978
11	3	12	2008	632.4	4	2012	694.5	851	846
11	3	12	2008	632.4	5	2013	810.8	854	692
11	3	12	2008	632.4	6	2014	800.5	857	540
11	3	12	2008	632.4	7	2015	610.8	858	424
11	3	12	2008	632.4	8	2016	441.7	860	340
11	3	12	2008	632.4	9	2017	463.5	861	252
11	3	12	2008	632.4	10	2018	357.7	863	184
11	3	12	2008	632.4	11	2019	379.3	864	112
11	3	12	2008	632.4	12	2020	326.5	865	50
11	3	12	2008	632.4	edge		73.5	865	36
12	3	8	2012	1705.2	Piscivorous			709	1449
12	3	8	2012	1705.2	1	2013	2208.8	727	1029
12	3	8	2012	1705.2	2	2014	1219.5	737	798
12	3	8	2012	1705.2	3	2015	906.3	744	626
12	3	8	2012	1705.2	4	2016	1033.4	752	430
12	3	8	2012	1705.2	5	2017	610.9	757	314
12	3	8	2012	1705.2	6	2018	473.7	761	224
12	3	8	2012	1705.2	7	2019	537.3	766	122
12	3	8	2012	1705.2	8	2020	294.5	768	66
12	3	8	2012	1705.2	edge		137.0	769	40
13	3	6	2014	1602.6	Piscivorous			908	1963
13	3	6	2014	1602.6	1	2015	2250.0	888	1536
13	3	6	2014	1602.6	2	2016	2614.8	865	1040
13	3	6	2014	1602.6	3	2017	2064.0	846	648
13	3	6	2014	1602.6	4	2018	1076.0	837	444
13	3	6	2014	1602.6	5	2019	979.9	828	258
13	3	6	2014	1602.6	6	2020	811.2	821	104
13	3	6	2014	1602.6	edge		337.0	818	40
14	3	9	2011	1554.5	Piscivorous			759	1260
14	3	9	2011	1554.5	1	2012	2090.6	771	863
14	3	9	2011	1554.5	2	2013	839.4	775	704
14	3	9	2011	1554.5	3	2014	779.7	779	556
14	3	9	2011	1554.5	4	2015	663.7	783	429
14	3	9	2011	1554.5	5	2016	375.0	785	358
14	3	9	2011	1554.5	6	2017	481.6	788	267
14	3	9	2011	1554.5	7	2018	375.0	790	196
14	3	9	2011	1554.5	8	2019	192.9	791	159
14	3	9	2011	1554.5	9	2020	479.0	794	68
14	3	9	2011	1554.5	edge		58.0	794	57
15	3	3	2017	1495.3	Piscivorous			766	1914
15	3	3	2017	1495.3	1	2018	6108.4	793	754
15	3	3	2017	1495.3	2	2019	2863.5	806	210
15	3	3	2017	1495.3	3	2020	716.5	809	74
15	3	3	2017	1495.3	edge		215.1	810	33
16	3	7	2013	3029.9	Piscivorous			809	1788
16	3	7	2013	3029.9	1	2014	3737.2	888	1082
16	3	7	2013	3029.9	2	2015	2447.9	940	620
16	3	7	2013	3029.9	3	2016	924.2	960	446
16	3	7	2013	3029.9	4	2017	633.6	973	326
16	3	7	2013	3029.9	5	2018	340.6	980	262
16	3	7	2013	3029.9	6	2019	602.2	993	148
16	3	7	2013	3029.9	7	2020	530.1	1004	48
16	3	7	2013	3029.9	edge		120.1	1007	25
17	3	9	2011	10.5	Piscivorous			776	1472
17	3	9	2011	10.5	1	2012	1573.6	751	1174
17	3	9	2011	10.5	2	2013	2650.7	708	672
17	3	9	2011	10.5	3	2014	888.5	694	504
17	3	9	2011	10.5	4	2015	614.9	684	388
17	3	9	2011	10.5	5	2016	495.1	676	294
17	3	9	2011	10.5	6	2017	497.5	668	200
17	3	9	2011	10.5	7	2018	379.4	662	128
17	3	9	2011	10.5	8	2019	231.7	658	84
17	3	9	2011	10.5	9	2020	180.1	655	50
17	3	9	2011	10.5	edge		84.8	654	34
18	3	6	2014	1041.2	Piscivorous			714	1448
18	3	6	2014	1041.2	1	2015	1561.8	691	1152
