Sample	Quality	Age	Cohort	Piscivorous	I	Year	Increment	X	Y
1	3	8	2012	684.6	Piscivorous			1691	2065
1	3	8	2012	684.6	1	2013	1061.8	1494	1021
1	3	8	2012	684.6	2	2014	223.0	1453	802
1	3	8	2012	684.6	3	2015	261.9	1404	545
1	3	8	2012	684.6	4	2016	150.6	1376	397
1	3	8	2012	684.6	5	2017	106.0	1357	293
1	3	8	2012	684.6	6	2018	91.8	1340	203
1	3	8	2012	684.6	7	2019	67.6	1327	136
1	3	8	2012	684.6	8	2020	60.6	1316	77
1	3	8	2012	684.6	edge		21.0	1312	56
10	3	4	2016	341.4	Piscivorous			1769	1719
10	3	4	2016	341.4	1	2017	868.8	1861	855
10	3	4	2016	341.4	2	2018	540.0	1917	318
10	3	4	2016	341.4	3	2019	108.7	1929	210
10	3	4	2016	341.4	4	2020	72.2	1936	138
10	3	4	2016	341.4	edge		49.0	1941	89
100	3	1	2019	730.8	Piscivorous			1791	1916
100	3	1	2019	730.8	1	2020	941.8	1868	977
100	3	1	2019	730.8	edge		927.1	1944	53
101	3	1	2019	497.1	Piscivorous			1842	1953
101	3	1	2019	497.1	1	2020	1002.4	1681	963
101	3	1	2019	497.1	edge		900.1	1536	75
102	3	9	2011	382.2	Piscivorous			1749	1897
102	3	9	2011	382.2	1	2012	447.5	1717	1451
102	3	9	2011	382.2	2	2013	337.1	1693	1115
102	3	9	2011	382.2	3	2014	188.1	1680	927
102	3	9	2011	382.2	4	2015	164.6	1668	763
102	3	9	2011	382.2	5	2016	149.3	1657	614
102	3	9	2011	382.2	6	2017	205.5	1643	409
102	3	9	2011	382.2	7	2018	149.3	1632	260
102	3	9	2011	382.2	8	2019	114.4	1624	146
102	3	9	2011	382.2	9	2020	66.1	1619	80
102	3	9	2011	382.2	edge		19.9	1618	60
103	2	2	2018	197.4	Piscivorous			1673	1795
103	2	2	2018	197.4	1	2019	851.2	1584	948
103	2	2	2018	197.4	2	2020	584.1	1524	367
103	2	2	2018	197.4	edge		218.3	1501	150
104	2	5	2015	593.0	Piscivorous			1707	1781
104	2	5	2015	593.0	1	2016	864.9	1576	926
104	2	5	2015	593.0	2	2017	151.6	1553	776
104	2	5	2015	593.0	3	2018	183.5	1526	595
104	2	5	2015	593.0	4	2019	144.3	1504	452
104	2	5	2015	593.0	5	2020	152.8	1481	301
104	2	5	2015	593.0	edge		33.3	1476	268
105	2	5	2015	538.7	Piscivorous			1669	1836
105	2	5	2015	538.7	1	2016	685.6	1641	1151
105	2	5	2015	538.7	2	2017	393.0	1624	758
105	2	5	2015	538.7	3	2018	129.3	1619	629
105	2	5	2015	538.7	4	2019	219.4	1610	410
105	2	5	2015	538.7	5	2020	157.1	1603	253
105	2	5	2015	538.7	edge		100.1	1599	153
106	3	3	2017	674.4	Piscivorous			1757	1867
106	3	3	2017	674.4	1	2018	1216.9	1711	651
106	3	3	2017	674.4	2	2019	167.0	1705	484
106	3	3	2017	674.4	3	2020	232.1	1696	252
106	3	3	2017	674.4	edge		36.0	1695	216
107	3	2	2018	904.3	Piscivorous			1965	1896
107	3	2	2018	904.3	1	2019	1735.3	1232	323
107	3	2	2018	904.3	2	2020	147.5	1170	189
107	3	2	2018	904.3	edge		162.6	1101	42
108	2	2	2018	759.6	Piscivorous			1855	1860
108	2	2	2018	759.6	1	2019	1203.1	1942	660
108	2	2	2018	759.6	2	2020	201.3	1957	459
108	2	2	2018	759.6	edge		207.8	1972	252
109	3	7	2013	353.0	Piscivorous			1474	1942
109	3	7	2013	353.0	1	2014	524.5	1465	1418
109	3	7	2013	353.0	2	2015	388.0	1458	1030
109	3	7	2013	353.0	3	2016	258.0	1454	772
109	3	7	2013	353.0	4	2017	253.1	1449	519
109	3	7	2013	353.0	5	2018	152.0	1446	367
109	3	7	2013	353.0	6	2019	107.0	1445	260
109	3	7	2013	353.0	7	2020	82.0	1443	178
109	3	7	2013	353.0	edge		68.7	1442	109
11	2	3	2017	621.1	Piscivorous			1657	1738
11	2	3	2017	621.1	1	2018	906.1	1633	832
11	2	3	2017	621.1	2	2019	309.0	1625	523
11	2	3	2017	621.1	3	2020	255.1	1618	268
11	2	3	2017	621.1	edge		51.0	1617	217
110	3	2	2018	746.4	Piscivorous			1661	1933
110	3	2	2018	746.4	1	2019	1145.1	1576	791
110	3	2	2018	746.4	2	2020	543.5	1536	249
110	3	2	2018	746.4	edge		176.6	1523	73
111	3	0	2020	735.0	Piscivorous			1822	1714
111	3	0	2020	735.0	edge		1574.0	1814	140
112	1	3	2017	566.5	Piscivorous			1514	1800
112	1	3	2017	566.5	1	2018	812.4	1526	988
112	1	3	2017	566.5	2	2019	334.7	1531	653
112	1	3	2017	566.5	3	2020	296.1	1535	357
112	1	3	2017	566.5	edge		124.9	1537	232
113	3	10	2010	436.4	Piscivorous			1518	1960
113	3	10	2010	436.4	1	2011	661.6	1542	1299
113	3	10	2010	436.4	2	2012	158.7	1548	1140
113	3	10	2010	436.4	3	2013	241.5	1557	899
113	3	10	2010	436.4	4	2014	301.2	1568	598
113	3	10	2010	436.4	5	2015	198.2	1575	400
113	3	10	2010	436.4	6	2016	146.0	1581	254
113	3	10	2010	436.4	7	2017	44.1	1583	210
113	3	10	2010	436.4	8	2018	68.0	1585	142
113	3	10	2010	436.4	9	2019	60.0	1587	82
113	3	10	2010	436.4	10	2020	30.0	1588	52
113	3	10	2010	436.4	edge		34.7	1590	17
114	3	7	2013	337.1	Piscivorous			1660	1789
114	3	7	2013	337.1	1	2014	635.1	1697	1155
114	3	7	2013	337.1	2	2015	318.6	1716	837
114	3	7	2013	337.1	3	2016	173.1	1726	664
114	3	7	2013	337.1	4	2017	130.2	1734	534
114	3	7	2013	337.1	5	2018	86.2	1739	448
114	3	7	2013	337.1	6	2019	120.2	1746	328
114	3	7	2013	337.1	7	2020	78.3	1750	250
114	3	7	2013	337.1	edge		44.6	1753	205
115	2	3	2017	560.4	Piscivorous			1575	1844
115	2	3	2017	560.4	1	2018	871.7	1453	981
115	2	3	2017	560.4	2	2019	266.4	1415	717
115	2	3	2017	560.4	3	2020	523.7	1342	199
115	2	3	2017	560.4	edge		148.1	1321	52
116	3	7	2013	406.8	Piscivorous			1753	2066
116	3	7	2013	406.8	1	2014	604.0	1746	1462
116	3	7	2013	406.8	2	2015	560.0	1740	902
116	3	7	2013	406.8	3	2016	342.0	1736	560
116	3	7	2013	406.8	4	2017	212.1	1734	348
116	3	7	2013	406.8	5	2018	98.0	1733	250
116	3	7	2013	406.8	6	2019	56.0	1732	194
116	3	7	2013	406.8	7	2020	90.0	1731	104
116	3	7	2013	406.8	edge		32.0	1731	72
117	3	0	2020	991.8	Piscivorous			1720	1861
117	3	0	2020	991.8	edge		1537.0	1867	331
118	3	2	2018	668.0	Piscivorous			1356	1582
118	3	2	2018	668.0	1	2019	1100.0	1353	482
118	3	2	2018	668.0	2	2020	232.0	1352	250
118	3	2	2018	668.0	edge		158.0	1352	92
119	3	3	2017	478.0	Piscivorous			1623	1821
119	3	3	2017	478.0	1	2018	1227.7	1696	595
119	3	3	2017	478.0	2	2019	240.5	1710	355
119	3	3	2017	478.0	3	2020	189.3	1722	166
119	3	3	2017	478.0	edge		59.5	1725	107
12	3	3	2017	1047.2	Piscivorous			1638	1843
12	3	3	2017	1047.2	1	2018	1159.0	1632	684
12	3	3	2017	1047.2	2	2019	216.0	1631	468
12	3	3	2017	1047.2	3	2020	189.0	1630	279
12	3	3	2017	1047.2	edge		45.0	1630	234
120	2	4	2016	397.5	Piscivorous			1808	1734
120	2	4	2016	397.5	1	2017	1007.8	1666	736
120	2	4	2016	397.5	2	2018	298.8	1624	440
120	2	4	2016	397.5	3	2019	89.9	1612	351
120	2	4	2016	397.5	4	2020	62.2	1603	290
120	2	4	2016	397.5	edge		63.4	1594	227
121	1	3	2017	481.9	Piscivorous			1686	1689
121	1	3	2017	481.9	1	2018	780.7	1530	924
121	1	3	2017	481.9	2	2019	227.1	1485	701
121	1	3	2017	481.9	3	2020	276.5	1430	430
121	1	3	2017	481.9	edge		206.5	1389	228
122	2	5	2015	460.2	Piscivorous			1966	1925
122	2	5	2015	460.2	1	2016	1143.8	1948	781
122	2	5	2015	460.2	2	2017	376.0	1942	405
122	2	5	2015	460.2	3	2018	117.1	1940	288
122	2	5	2015	460.2	4	2019	131.9	1938	156
122	2	5	2015	460.2	5	2020	105.0	1937	51
122	2	5	2015	460.2	edge		39.1	1936	12
123	3	2	2018	834.2	Piscivorous			1673	1941
123	3	2	2018	834.2	1	2019	1014.1	1687	927
123	3	2	2018	834.2	2	2020	576.0	1695	351
123	3	2	2018	834.2	edge		275.1	1699	76
124	2	0	2020	890.8	Piscivorous			1759	1641
124	2	0	2020	890.8	edge		1493.2	1783	148
125	2	6	2014	277.6	Piscivorous			1427	1715
125	2	6	2014	277.6	1	2015	593.1	1422	1122
125	2	6	2014	277.6	2	2016	327.0	1420	795
125	2	6	2014	277.6	3	2017	324.0	1417	471
125	2	6	2014	277.6	4	2018	162.0	1416	309
125	2	6	2014	277.6	5	2019	114.0	1415	195
125	2	6	2014	277.6	6	2020	60.0	1414	135
125	2	6	2014	277.6	edge		32.3	1414	103
126	3	3	2017	456.1	Piscivorous			1819	1690
126	3	3	2017	456.1	1	2018	1156.4	1852	534
126	3	3	2017	456.1	2	2019	180.1	1858	354
126	3	3	2017	456.1	3	2020	153.3	1862	201
126	3	3	2017	456.1	edge		102.9	1865	98
127	3	5	2015	228.0	Piscivorous			1642	1838
127	3	5	2015	228.0	1	2016	701.2	1613	1137
127	3	5	2015	228.0	2	2017	218.1	1604	919
127	3	5	2015	228.0	3	2018	297.4	1592	622
127	3	5	2015	228.0	4	2019	156.0	1586	466
127	3	5	2015	228.0	5	2020	226.3	1577	240
127	3	5	2015	228.0	edge		40.0	1575	200
128	3	6	2014	745.5	Piscivorous			1823	1984
128	3	6	2014	745.5	1	2015	891.1	1742	1097
128	3	6	2014	745.5	2	2016	390.1	1706	708
128	3	6	2014	745.5	3	2017	193.1	1688	516
128	3	6	2014	745.5	4	2018	105.1	1679	411
128	3	6	2014	745.5	5	2019	132.8	1666	279
128	3	6	2014	745.5	6	2020	210.8	1647	69
128	3	6	2014	745.5	edge		45.2	1643	24
129	2	8	2012	493.0	Piscivorous			1835	1824
129	2	8	2012	493.0	1	2013	695.0	1827	1129
129	2	8	2012	493.0	2	2014	362.1	1822	767
129	2	8	2012	493.0	3	2015	149.0	1820	618
129	2	8	2012	493.0	4	2016	158.0	1819	460
129	2	8	2012	493.0	5	2017	72.0	1818	388
