Sample	Quality	Age	Cohort	Piscivorous	I	Year	Increment	X	Y
292	1	1	2019	1030.7	Piscivorous			1488	1771
292	1	1	2019	1030.7	1	2020	1375.3	1709	413
292	1	1	2019	1030.7	edge		78.2	1722	336
1	2	7	2013	673.1	Piscivorous			1680	2064
1	2	7	2013	673.1	1	2014	1030.5	1577	1039
1	2	7	2013	673.1	2	2015	261.1	1551	779
1	2	7	2013	673.1	3	2016	211.3	1530	569
1	2	7	2013	673.1	4	2017	117.0	1518	452
1	2	7	2013	673.1	5	2018	95.9	1509	357
1	2	7	2013	673.1	6	2019	113.4	1497	244
1	2	7	2013	673.1	7	2020	92.3	1488	152
1	2	7	2013	673.1	edge		120.6	1476	32
10	3	2	2018	823.2	Piscivorous			1780	1716
10	3	2	2018	823.2	1	2019	1401.6	1908	320
10	3	2	2018	823.2	2	2020	104.7	1917	216
10	3	2	2018	823.2	edge		116.5	1928	100
100	3	1	2019	714.9	Piscivorous			1788	1914
100	3	1	2019	714.9	1	2020	916.4	1880	1002
100	3	1	2019	714.9	edge		940.9	1974	66
101	2	2	2018	906.2	Piscivorous			1844	1960
101	2	2	2018	906.2	1	2019	1257.7	1681	713
101	2	2	2018	906.2	2	2020	616.5	1601	102
101	2	2	2018	906.2	edge		38.0	1596	64
102	3	9	2011	366.9	Piscivorous			1735	1903
102	3	9	2011	366.9	1	2012	458.7	1696	1446
102	3	9	2011	366.9	2	2013	240.9	1676	1206
102	3	9	2011	366.9	3	2014	301.5	1650	906
102	3	9	2011	366.9	4	2015	163.2	1636	743
102	3	9	2011	366.9	5	2016	137.2	1624	606
102	3	9	2011	366.9	6	2017	157.0	1611	450
102	3	9	2011	366.9	7	2018	189.6	1595	261
102	3	9	2011	366.9	8	2019	98.6	1586	163
102	3	9	2011	366.9	9	2020	75.5	1580	87
102	3	9	2011	366.9	edge		12.5	1579	75
103	1	3	2017	535.8	Piscivorous			1664	1792
103	1	3	2017	535.8	1	2018	839.4	1562	959
103	1	3	2017	535.8	2	2019	211.9	1537	748
103	1	3	2017	535.8	3	2020	356.8	1494	394
103	1	3	2017	535.8	edge		244.0	1464	152
104	2	4	2016	606.0	Piscivorous			1704	1800
104	2	4	2016	606.0	1	2017	881.6	1581	927
104	2	4	2016	606.0	2	2018	136.6	1562	792
104	2	4	2016	606.0	3	2019	190.5	1535	603
104	2	4	2016	606.0	4	2020	123.9	1518	480
104	2	4	2016	606.0	edge		212.6	1488	270
105	2	5	2015	630.8	Piscivorous			1660	1852
105	2	5	2015	630.8	1	2016	857.2	1678	995
105	2	5	2015	630.8	2	2017	201.7	1683	793
105	2	5	2015	630.8	3	2018	162.0	1686	631
105	2	5	2015	630.8	4	2019	198.5	1690	433
105	2	5	2015	630.8	5	2020	184.2	1694	249
105	2	5	2015	630.8	edge		88.7	1696	160
106	3	4	2016	688.9	Piscivorous			1750	1877
106	3	4	2016	688.9	1	2017	906.5	1717	971
106	3	4	2016	688.9	2	2018	307.1	1705	665
106	3	4	2016	688.9	3	2019	172.2	1699	492
106	3	4	2016	688.9	4	2020	237.9	1690	255
106	3	4	2016	688.9	edge		33.5	1689	221
107	3	3	2017	861.7	Piscivorous			1951	1898
107	3	3	2017	861.7	1	2018	1697.9	1227	362
107	3	3	2017	861.7	2	2019	133.7	1170	241
107	3	3	2017	861.7	3	2020	191.6	1089	67
107	3	3	2017	861.7	edge		15.7	1082	53
108	3	2	2018	760.1	Piscivorous			1855	1873
108	3	2	2018	760.1	1	2019	1228.0	1725	652
108	3	2	2018	760.1	2	2020	103.5	1714	549
108	3	2	2018	760.1	edge		212.2	1691	338
109	3	6	2014	496.0	Piscivorous			1471	1922
109	3	6	2014	496.0	1	2015	864.7	1470	1058
109	3	6	2014	496.0	2	2016	266.5	1469	791
109	3	6	2014	496.0	3	2017	241.8	1468	549
109	3	6	2014	496.0	4	2018	159.9	1468	390
109	3	6	2014	496.0	5	2019	98.4	1468	291
109	3	6	2014	496.0	6	2020	90.2	1468	201
109	3	6	2014	496.0	edge		82.1	1467	119
11	2	3	2017	515.0	Piscivorous			1672	1713
11	2	3	2017	515.0	1	2018	885.8	1663	828
11	2	3	2017	515.0	2	2019	290.8	1659	537
11	2	3	2017	515.0	3	2020	184.5	1657	352
11	2	3	2017	515.0	edge		122.7	1656	230
110	2	2	2018	764.6	Piscivorous			1676	1936
110	2	2	2018	764.6	1	2019	1125.2	1618	812
110	2	2	2018	764.6	2	2020	548.9	1590	264
110	2	2	2018	764.6	edge		188.4	1580	76
111	3	0	2020	709.2	Piscivorous			1808	1722
111	3	0	2020	709.2	edge		1578.3	1832	143
112	1	5	2015	600.1	Piscivorous			1508	1800
112	1	5	2015	600.1	1	2016	772.0	1541	1029
112	1	5	2015	600.1	2	2017	161.7	1548	867
112	1	5	2015	600.1	3	2018	206.9	1556	660
112	1	5	2015	600.1	4	2019	216.6	1566	444
112	1	5	2015	600.1	5	2020	162.2	1572	282
112	1	5	2015	600.1	edge		36.0	1574	246
113	3	8	2012	603.8	Piscivorous			1508	1931
113	3	8	2012	603.8	1	2013	785.0	1563	1147
113	3	8	2012	603.8	2	2014	211.2	1577	937
113	3	8	2012	603.8	3	2015	334.4	1601	603
113	3	8	2012	603.8	4	2016	198.8	1614	405
113	3	8	2012	603.8	5	2017	122.8	1623	282
113	3	8	2012	603.8	6	2018	61.2	1627	221
113	3	8	2012	603.8	7	2019	59.4	1631	162
113	3	8	2012	603.8	8	2020	66.7	1636	95
113	3	8	2012	603.8	edge		54.6	1640	41
114	2	6	2014	615.7	Piscivorous			1674	1797
114	2	6	2014	615.7	1	2015	936.5	1716	861
114	2	6	2014	615.7	2	2016	153.9	1723	708
114	2	6	2014	615.7	3	2017	158.6	1731	549
114	2	6	2014	615.7	4	2018	96.4	1735	453
114	2	6	2014	615.7	5	2019	118.1	1740	335
114	2	6	2014	615.7	6	2020	71.9	1743	263
114	2	6	2014	615.7	edge		56.1	1746	207
115	2	5	2015	566.7	Piscivorous			1570	1856
115	2	5	2015	566.7	1	2016	865.1	1481	996
115	2	5	2015	566.7	2	2017	245.0	1456	752
115	2	5	2015	566.7	3	2018	118.4	1444	634
115	2	5	2015	566.7	4	2019	256.0	1417	380
115	2	5	2015	566.7	5	2020	180.8	1399	200
115	2	5	2015	566.7	edge		150.4	1383	50
116	2	7	2013	622.2	Piscivorous			1748	2068
116	2	7	2013	622.2	1	2014	968.0	1742	1100
116	2	7	2013	622.2	2	2015	183.9	1741	916
116	2	7	2013	622.2	3	2016	332.0	1739	584
116	2	7	2013	622.2	4	2017	228.2	1738	356
116	2	7	2013	622.2	5	2018	99.9	1737	256
116	2	7	2013	622.2	6	2019	72.0	1737	184
116	2	7	2013	622.2	7	2020	56.1	1736	128
116	2	7	2013	622.2	edge		55.9	1736	72
118	3	3	2017	586.7	Piscivorous			1353	1512
118	3	3	2017	586.7	1	2018	955.0	1347	557
118	3	3	2017	586.7	2	2019	147.6	1346	410
118	3	3	2017	586.7	3	2020	151.7	1345	258
