Sampling date	Salinity	Water temp	d18O [permil]	Lat	Long
04.03.2020	11.2	5.5		54.582355	13.110588
18.03.2020	9.9	7.2	-5.9	54.582355	13.110588
02.04.2020	9.4	6.9	-5.9	54.582355	13.110588
29.04.2020	10.1	13.5	-5.0	54.582355	13.110588
13.05.2020	9.4	12.4	-5.5	54.582355	13.110588
27.05.2020	9.6	16.9	-4.2	54.582355	13.110588
10.06.2020	9.8	19.7	-5.0	54.582355	13.110588
25.06.2020	9.7	24.1	-4.6	54.582355	13.110588
13.07.2020	9.4	17.4	-4.9	54.582355	13.110588
03.08.2020	9.5	20.6	-4.8	54.582355	13.110588
19.08.2020	10.0	23.5	-4.4	54.582355	13.110588
03.09.2020	9.0	18.9	-4.9	54.582355	13.110588
18.09.2020	9.0	17.4	-4.6	54.582355	13.110588
01.10.2020	8.9	16.0	-4.2	54.582355	13.110588
13.10.2020	8.8	11.9	-5.0	54.582355	13.110588
30.10.2020	8.7	9.9	-5.7	54.582355	13.110588
11.11.2020	8.8	7.9	-5.4	54.582355	13.110588
27.11.2020	9.2	6.1	-5.4	54.582355	13.110588
09.12.2020	8.9	3.0	-5.6	54.582355	13.110588
01.01.2021	8.0	2.0	-5.4	54.582355	13.110588
13.01.2021	9.0	2.6	-6.0	54.582355	13.110588
27.01.2021	8.5	1.6	-6.3	54.582355	13.110588
10.02.2021	9.1	-0.2	-6.3	54.582355	13.110588
18.02.2021	10.3	0.3	-6.5	54.582355	13.110588
25.02.2021	7.5	2.6		54.582355	13.110588
02.03.2021	8.2	3.7	-6.4	54.582355	13.110588
