Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
1,2,5,2014,58.2,core,,,528,2476
1,2,5,2014,58.2,1,2015,251.4,1048,2477
1,2,5,2014,58.2,2,2016,212.8,1488,2477
1,2,5,2014,58.2,3,2017,357.8,2228,2478
1,2,5,2014,58.2,4,2018,404.3,3064,2479
1,2,5,2014,58.2,5,2019,290.1,3664,2479
1,2,5,2014,58.2,edge,,236.0,4152,2480
10,3,3,0,37.7,core,,,284,1494
10,3,3,0,37.7,1,1,648.0,1624,1497
10,3,3,0,37.7,2,2,428.4,2510,1499
10,3,3,0,37.7,3,3,106.4,2730,1499
10,3,3,0,37.7,edge,,167.3,3076,1500
11,2,15,0,69.7,core,,,84,2550
11,2,15,0,69.7,1,1,60.9,210,2550
11,2,15,0,69.7,2,2,116.1,450,2550
11,2,15,0,69.7,3,3,84.1,624,2550
11,2,15,0,69.7,4,4,148.0,930,2550
11,2,15,0,69.7,5,5,359.8,1674,2550
11,2,15,0,69.7,6,6,206.0,2100,2550
11,2,15,0,69.7,7,7,200.2,2514,2550
11,2,15,0,69.7,8,8,133.5,2790,2550
11,2,15,0,69.7,9,9,235.0,3276,2550
11,2,15,0,69.7,10,10,107.3,3498,2550
11,2,15,0,69.7,11,11,174.1,3858,2550
11,2,15,0,69.7,12,12,133.5,4134,2550
11,2,15,0,69.7,13,13,124.8,4392,2550
11,2,15,0,69.7,14,14,84.1,4566,2550
11,2,15,0,69.7,15,15,78.3,4728,2550
11,2,15,0,69.7,edge,,107.3,4950,2550
12,3,2,0,27.1,core,,,286,1256
12,3,2,0,27.1,1,1,527.1,1376,1256
12,3,2,0,27.1,2,2,463.2,2334,1256
12,3,2,0,27.1,edge,,376.2,3112,1256
13,3,12,0,40.7,core,,,676,2736
13,3,12,0,40.7,1,1,125.7,936,2736
13,3,12,0,40.7,2,2,404.3,1772,2734
13,3,12,0,40.7,3,3,363.6,2524,2733
13,3,12,0,40.7,4,4,187.6,2912,2732
13,3,12,0,40.7,5,5,191.5,3308,2731
13,3,12,0,40.7,6,6,174.1,3668,2730
13,3,12,0,40.7,7,7,216.6,4116,2730
13,3,12,0,40.7,8,8,98.6,4320,2729
13,3,12,0,40.7,9,9,85.1,4496,2729
13,3,12,0,40.7,10,10,83.2,4668,2729
13,3,12,0,40.7,11,11,48.4,4768,2728
13,3,12,0,40.7,12,12,34.8,4840,2728
13,3,12,0,40.7,edge,,50.3,4944,2728
14,3,4,0,34.8,core,,,549,1764
14,3,4,0,34.8,1,1,210.4,984,1765
14,3,4,0,34.8,2,2,200.2,1398,1766
14,3,4,0,34.8,3,3,417.8,2262,1767
14,3,4,0,34.8,4,4,513.5,3324,1770
14,3,4,0,34.8,edge,,84.1,3498,1770
15,1,14,0,42.7,core,,,1222,2672
15,1,14,0,42.7,1,1,468.1,2190,2669
15,1,14,0,42.7,2,2,160.5,2522,2668
15,1,14,0,42.7,3,3,131.5,2794,2668
15,1,14,0,42.7,4,4,210.8,3230,2666
15,1,14,0,42.7,5,5,112.2,3462,2666
15,1,14,0,42.7,6,6,123.8,3718,2665
15,1,14,0,42.7,7,7,96.7,3918,2664
15,1,14,0,42.7,8,8,121.8,4170,2664
15,1,14,0,42.7,9,9,73.5,4322,2663
15,1,14,0,42.7,10,10,116.1,4562,2663
15,1,14,0,42.7,11,11,81.2,4730,2662
15,1,14,0,42.7,12,12,98.6,4934,2662
15,1,14,0,42.7,13,13,89.0,5118,2661
15,1,14,0,42.7,14,14,110.3,5346,2660
15,1,14,0,42.7,edge,,58.0,5466,2660
16,1,11,0,45.5,core,,,735,2305
16,1,11,0,45.5,1,1,170.2,1087,2304
16,1,11,0,45.5,2,2,236.9,1577,2303
16,1,11,0,45.5,3,3,159.6,1907,2302
16,1,11,0,45.5,4,4,329.8,2589,2301
16,1,11,0,45.5,5,5,255.3,3117,2300
16,1,11,0,45.5,6,6,119.0,3363,2299
16,1,11,0,45.5,7,7,128.6,3629,2299
16,1,11,0,45.5,8,8,131.5,3901,2298
16,1,11,0,45.5,9,9,64.8,4035,2298
16,1,11,0,45.5,10,10,58.0,4155,2297
16,1,11,0,45.5,11,11,60.9,4281,2297
16,1,11,0,45.5,edge,,31.9,4347,2297
17,2,2,0,31.0,core,,,422,1429
17,2,2,0,31.0,1,1,522.2,1502,1426
17,2,2,0,31.0,2,2,502.9,2542,1423
17,2,2,0,31.0,edge,,459.7,3492,1421
18,3,4,0,47.8,core,,,864,1897
18,3,4,0,47.8,1,1,287.6,1458,1894
18,3,4,0,47.8,2,2,456.5,2402,1890
18,3,4,0,47.8,3,3,343.7,3113,1887
18,3,4,0,47.8,4,4,241.8,3613,1884
18,3,4,0,47.8,edge,,109.0,3838,1883
19,2,6,0,34.9,core,,,130,2267
19,2,6,0,34.9,1,1,425.5,1010,2268
19,2,6,0,34.9,2,2,254.4,1536,2268
19,2,6,0,34.9,3,3,338.5,2236,2268
19,2,6,0,34.9,4,4,211.8,2674,2269
19,2,6,0,34.9,5,5,159.6,3004,2269
19,2,6,0,34.9,6,6,157.6,3330,2269
19,2,6,0,34.9,edge,,28.0,3388,2269
2,1,3,0,18.4,core,,,50,1741
2,1,3,0,18.4,1,1,158.6,378,1741
2,1,3,0,18.4,2,2,564.8,1546,1743
2,1,3,0,18.4,3,3,466.2,2510,1744
2,1,3,0,18.4,edge,,253.4,3034,1745
20,3,10,0,42.6,core,,,194,2832
20,3,10,0,42.6,1,1,116.1,434,2831
20,3,10,0,42.6,2,2,270.8,994,2830
20,3,10,0,42.6,3,3,346.2,1710,2827
20,3,10,0,42.6,4,4,191.5,2106,2826
20,3,10,0,42.6,5,5,145.1,2406,2825
20,3,10,0,42.6,6,6,123.8,2662,2824
20,3,10,0,42.6,7,7,127.7,2926,2823
20,3,10,0,42.6,8,8,81.2,3094,2823
20,3,10,0,42.6,9,9,195.4,3498,2822
20,3,10,0,42.6,10,10,110.3,3726,2821
20,3,10,0,42.6,edge,,148.9,4034,2820
21,1,8,0,33.1,core,,,116,2392
21,1,8,0,33.1,1,1,152.8,432,2393
21,1,8,0,33.1,2,2,437.1,1336,2394
21,1,8,0,33.1,3,3,294.0,1944,2396
21,1,8,0,33.1,4,4,253.4,2468,2397
21,1,8,0,33.1,5,5,299.8,3088,2398
21,1,8,0,33.1,6,6,183.8,3468,2399
21,1,8,0,33.1,7,7,65.8,3604,2399
21,1,8,0,33.1,8,8,90.9,3792,2399
21,1,8,0,33.1,edge,,139.3,4080,2400
22,3,2,0,37.8,core,,,396,1638
22,3,2,0,37.8,1,1,649.9,1740,1637
22,3,2,0,37.8,2,2,604.9,2991,1636
22,3,2,0,37.8,edge,,332.2,3678,1635
23,2,8,0,58.1,core,,,308,2778
23,2,8,0,58.1,1,1,176.0,672,2777
23,2,8,0,58.1,2,2,311.4,1316,2775
23,2,8,0,58.1,3,3,584.2,2524,2772
23,2,8,0,58.1,4,4,265.0,3072,2770
23,2,8,0,58.1,5,5,199.2,3484,2769
23,2,8,0,58.1,6,6,174.1,3844,2768
23,2,8,0,58.1,7,7,179.9,4216,2767
23,2,8,0,58.1,8,8,85.1,4392,2766
23,2,8,0,58.1,edge,,54.2,4504,2766
24,2,7,0,44.9,core,,,412,2512
24,2,7,0,44.9,1,1,415.9,1272,2512
24,2,7,0,44.9,2,2,371.4,2040,2512
24,2,7,0,44.9,3,3,417.8,2904,2512
24,2,7,0,44.9,4,4,119.9,3152,2512
24,2,7,0,44.9,5,5,172.1,3508,2512
24,2,7,0,44.9,6,6,112.2,3740,2512
24,2,7,0,44.9,7,7,58.0,3860,2512
24,2,7,0,44.9,edge,,42.6,3948,2512
25,2,7,0,31.6,core,,,572,1213
25,2,7,0,31.6,1,1,360.4,1317,1213
25,2,7,0,31.6,2,2,305.6,1949,1212
25,2,7,0,31.6,3,3,120.6,2199,1212
25,2,7,0,31.6,4,4,61.3,2325,1212
25,2,7,0,31.6,5,5,47.7,2424,1212
25,2,7,0,31.6,6,6,77.4,2584,1212
25,2,7,0,31.6,7,7,38.0,2663,1212
25,2,7,0,31.6,edge,,18.1,2700,1212
26,2,2,0,36.8,core,,,526,1534
26,2,2,0,36.8,1,1,305.6,1158,1529
26,2,2,0,36.8,2,2,398.5,1982,1524
26,2,2,0,36.8,edge,,370.4,2748,1518
27,1,6,0,31.9,core,,,302,1678
27,1,6,0,31.9,1,1,339.5,1004,1679
27,1,6,0,31.9,2,2,350.1,1728,1679
27,1,6,0,31.9,3,3,101.5,1938,1679
27,1,6,0,31.9,4,4,106.4,2158,1680
27,1,6,0,31.9,5,5,69.6,2302,1680
27,1,6,0,31.9,6,6,37.7,2380,1680
27,1,6,0,31.9,edge,,91.9,2570,1680
